# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951609219368935e+09,0.000000000000000000e+00,1.949763382555711605e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951609219824076e+09,0.000000000000000000e+00,4.394531250000000000e-03,0.000000000000000000e+00,7.324218749999999729e-05
3.333333333333333287e-02,1.503951609227214098e+09,0.000000000000000000e+00,2.099745181213843320e-02,3.817254851680025241e-07,4.232060797937266662e-04
5.000000000000000278e-02,1.503951609242854118e+09,0.000000000000000000e+00,1.799781583897579890e-02,1.300879160145474001e-06,7.231913584293256977e-04
6.666666666666666574e-02,1.503951609258764029e+09,0.000000000000000000e+00,1.949763382555711605e-02,2.492678168490824970e-06,1.048193466824752463e-03
8.333333333333332871e-02,1.503951609276348114e+09,0.000000000000000000e+00,1.499817986581316806e-02,3.823260550326531765e-06,1.298226852264144004e-03
1.000000000000000056e-01,1.503951609292855024e+09,0.000000000000000000e+00,1.799781583897579890e-02,5.328717903556420757e-06,1.598279261545466467e-03
1.166666666666666685e-01,1.503951609310357094e+09,0.000000000000000000e+00,1.649799785239448521e-02,7.251277399833045257e-06,1.873366747042038479e-03
1.333333333333333315e-01,1.503951609327146053e+09,0.000000000000000000e+00,1.499817986581316806e-02,1.007052534532055656e-05,2.123504253561346415e-03
1.499999999999999944e-01,1.503951609343182087e+09,0.000000000000000000e+00,1.799781583897579890e-02,1.452765292379677706e-05,2.423709978426339534e-03
1.666666666666666574e-01,1.503951609359857082e+09,0.000000000000000000e+00,1.799781583897579890e-02,2.164088504001222748e-05,2.724034257159936318e-03
1.833333333333333204e-01,1.503951609377103090e+09,0.000000000000000000e+00,2.699672375846369834e-02,3.271052087503867475e-05,3.174524828482248699e-03
2.000000000000000111e-01,1.503951609393744946e+09,0.000000000000000000e+00,1.799781583897579890e-02,4.931236195258694631e-05,3.475310298497721884e-03
2.166666666666666741e-01,1.503951609411626101e+09,0.000000000000000000e+00,1.649799785239448521e-02,7.327871900694729536e-05,3.751498241354412396e-03
2.333333333333333370e-01,1.503951609428433895e+09,0.000000000000000000e+00,2.699672375846369834e-02,1.066666586335454062e-04,4.203221414972699473e-03
2.500000000000000000e-01,1.503951609445171118e+09,0.000000000000000000e+00,1.799781583897579890e-02,1.517136580324148691e-04,4.505713573256169696e-03
2.666666666666666630e-01,1.503951609461848974e+09,0.000000000000000000e+00,1.949763382555711605e-02,2.107813626672053490e-04,4.834187159726575055e-03
2.833333333333333259e-01,1.503951609479469061e+09,0.000000000000000000e+00,1.499817986581316806e-02,2.862886676406794974e-04,5.088928301950805880e-03
2.999999999999999889e-01,1.503951609496180058e+09,0.000000000000000000e+00,1.499817986581316806e-02,3.806358487452030700e-04,5.345241897193445113e-03
3.166666666666666519e-01,1.503951609512439966e+09,0.000000000000000000e+00,1.799781583897579890e-02,4.961219333511698729e-04,5.653474193398894468e-03
3.333333333333333148e-01,1.503951609529031038e+09,0.000000000000000000e+00,1.349836187923184917e-02,6.348579053024532926e-04,5.889027856474465805e-03
3.499999999999999778e-01,1.503951609546189070e+09,0.000000000000000000e+00,2.249726979871975036e-02,7.986786641540012579e-04,6.277293664189028191e-03
3.666666666666666408e-01,1.503951609561708927e+09,0.000000000000000000e+00,1.349836187923184917e-02,9.890568920481997237e-04,6.518750643710362162e-03
3.833333333333333037e-01,1.503951609579421997e+09,0.000000000000000000e+00,1.649799785239448521e-02,1.207022108805681131e-03,6.813834309730365003e-03
4.000000000000000222e-01,1.503951609595108986e+09,0.000000000000000000e+00,1.799781583897579890e-02,1.453088208332495518e-03,7.138016043852169791e-03
4.166666666666666852e-01,1.503951609610975027e+09,0.000000000000000000e+00,2.699672375846369834e-02,1.727192661970529180e-03,7.616747984192740427e-03
4.333333333333333481e-01,1.503951609627635956e+09,0.000000000000000000e+00,1.649799785239448521e-02,2.028650345806020869e-03,7.925525454162748312e-03
4.500000000000000111e-01,1.503951609645087004e+09,0.000000000000000000e+00,1.949763382555711605e-02,2.356124602335528048e-03,8.289754761294293103e-03
4.666666666666666741e-01,1.503951609660757065e+09,0.000000000000000000e+00,1.799781583897579890e-02,2.707617689683810766e-03,8.634845320105286395e-03
4.833333333333333370e-01,1.503951609677911043e+09,0.000000000000000000e+00,2.099745181213843320e-02,3.080482215335874838e-03,9.036144220563192136e-03
5.000000000000000000e-01,1.503951609693371058e+09,0.000000000000000000e+00,1.499817986581316806e-02,3.471454511515277737e-03,9.343971460185332076e-03
5.166666666666666075e-01,1.503951609709798098e+09,0.000000000000000000e+00,1.049872590606921660e-02,3.876710204793388636e-03,9.583562062033042228e-03
5.333333333333333259e-01,1.503951609726355076e+09,0.000000000000000000e+00,1.649799785239448521e-02,4.291941485034087185e-03,9.930061050990184740e-03
5.500000000000000444e-01,1.503951609745001078e+09,0.000000000000000000e+00,1.349836187923184917e-02,4.712454812399590777e-03,1.023357466251737478e-02
