# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503951996509311914e+09,-0.000000000000000000e+00,5.099381154376476932e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503951996509756088e+09,-5.533874176911749648e-06,1.281738281250000000e-02,0.000000000000000000e+00,2.136230468750000000e-04
3.333333333333333287e-02,1.503951996519309044e+09,-2.246585738844798167e-05,5.249362953034608648e-02,0.000000000000000000e+00,1.088516872380767978e-03
5.000000000000000278e-02,1.503951996537235022e+09,-5.127754235841473405e-05,4.649435758402081786e-02,0.000000000000000000e+00,1.863422832114448304e-03
6.666666666666666574e-02,1.503951996553020000e+09,-9.238118567068819714e-05,4.199490362427686641e-02,0.000000000000000000e+00,2.563337892519062730e-03
8.333333333333332871e-02,1.503951996569273949e+09,-1.460559333900881445e-04,3.749544966453291495e-02,0.000000000000000000e+00,3.188262053594611255e-03
1.000000000000000056e-01,1.503951996585879087e+09,-2.123860144856160579e-04,3.449581369137028758e-02,0.000000000000000000e+00,3.763192281784116279e-03
1.166666666666666685e-01,1.503951996602618933e+09,-2.912036602790000106e-04,3.149617771820764633e-02,0.000000000000000000e+00,4.288128577087576936e-03
1.333333333333333315e-01,1.503951996619333982e+09,-3.820393804546372827e-04,3.149617771820764633e-02,0.000000000000000000e+00,4.813064872391037592e-03
1.499999999999999944e-01,1.503951996637505054e+09,-4.840819961801292475e-04,2.699672375846369834e-02,0.000000000000000000e+00,5.263010268365432565e-03
1.666666666666666574e-01,1.503951996653522968e+09,-5.961505058324608137e-04,2.099745181213843320e-02,0.000000000000000000e+00,5.612967798567739669e-03
1.833333333333333204e-01,1.503951996670866013e+09,-7.166794494368970009e-04,1.349836187923184917e-02,0.000000000000000000e+00,5.837940496554937589e-03
2.000000000000000111e-01,1.503951996687488079e+09,-8.437189580923983067e-04,1.049872590606921660e-02,0.000000000000000000e+00,6.012919261656091141e-03
2.166666666666666741e-01,1.503951996705255985e+09,-9.749501409648655753e-04,1.049872590606921660e-02,0.000000000000000000e+00,6.187898026757244693e-03
2.333333333333333370e-01,1.503951996722075939e+09,-1.107715893606488287e-03,1.349836187923184917e-02,0.000000000000000000e+00,6.412870724744442613e-03
2.500000000000000000e-01,1.503951996739296913e+09,-1.239066627642610883e-03,1.199854389265053375e-02,0.000000000000000000e+00,6.612846456288618349e-03
2.666666666666666630e-01,1.503951996755950928e+09,-1.365819844308707254e-03,1.199854389265053375e-02,0.000000000000000000e+00,6.812822187832794085e-03
2.833333333333333259e-01,1.503951996772160053e+09,-1.484631924057535930e-03,1.349836187923184917e-02,0.000000000000000000e+00,7.037794885819992005e-03
2.999999999999999889e-01,1.503951996788835049e+09,-1.592080001974978832e-03,1.199854389265053375e-02,0.000000000000000000e+00,7.237770617364167741e-03
