# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952189047835112e+09,0.000000000000000000e+00,-2.999635973162633439e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952189048322916e+09,3.817254851680025241e-07,-1.098632812500000000e-03,0.000000000000000000e+00,-1.831054687499999932e-05
3.333333333333333287e-02,1.503952189056760073e+09,1.300879160145474001e-06,-5.999271946325266877e-03,0.000000000000000000e+00,-1.182984126470877759e-04
5.000000000000000278e-02,1.503952189072722912e+09,2.492678168490824970e-06,-2.999635973162633439e-03,0.000000000000000000e+00,-1.682923455331316557e-04
6.666666666666666574e-02,1.503952189089473963e+09,3.823260550326531765e-06,-4.499453959743949724e-03,0.000000000000000000e+00,-2.432832448621974754e-04
8.333333333333332871e-02,1.503952189106683016e+09,5.328717903556420757e-06,-7.499089932906584030e-03,0.000000000000000000e+00,-3.682680770773072020e-04
1.000000000000000056e-01,1.503952189122621059e+09,7.251277399833045257e-06,-2.999635973162633439e-03,0.000000000000000000e+00,-4.182620099633510818e-04
1.166666666666666685e-01,1.503952189139525890e+09,1.007052534532055656e-05,-5.999271946325266877e-03,0.000000000000000000e+00,-5.182498757354388414e-04
1.333333333333333315e-01,1.503952189155618906e+09,1.452765292379677706e-05,-4.499453959743949724e-03,0.000000000000000000e+00,-5.932407750645046340e-04
1.499999999999999944e-01,1.503952189173681974e+09,2.164088504001222748e-05,-1.499817986581316719e-03,0.000000000000000000e+00,-6.182377415075266010e-04
1.666666666666666574e-01,1.503952189190403938e+09,3.271052087503867475e-05,-4.499453959743949724e-03,0.000000000000000000e+00,-6.932286408365923936e-04
1.833333333333333204e-01,1.503952189208534956e+09,4.931236195258694631e-05,-4.499453959743949724e-03,0.000000000000000000e+00,-7.682195401656581862e-04
2.000000000000000111e-01,1.503952189224133968e+09,7.327871900694729536e-05,-4.499453959743949724e-03,0.000000000000000000e+00,-8.432104394947239788e-04
2.166666666666666741e-01,1.503952189241130114e+09,1.066666586335454062e-04,-5.999271946325266877e-03,0.000000000000000000e+00,-9.431983052668117384e-04
2.333333333333333370e-01,1.503952189257704020e+09,1.517136580324148691e-04,-5.999271946325266877e-03,0.000000000000000000e+00,-1.043186171038899606e-03
2.500000000000000000e-01,1.503952189275165081e+09,2.107813626672053490e-04,-2.999635973162633439e-03,0.000000000000000000e+00,-1.093180103924943540e-03
2.666666666666666630e-01,1.503952189291258097e+09,2.862886676406794974e-04,-2.999635973162633439e-03,0.000000000000000000e+00,-1.143174036810987474e-03
2.833333333333333259e-01,1.503952189306839943e+09,3.806358487452030700e-04,-4.499453959743949724e-03,0.000000000000000000e+00,-1.218164936140053375e-03
2.999999999999999889e-01,1.503952189322663069e+09,4.961219333511698729e-04,-4.499453959743949724e-03,0.000000000000000000e+00,-1.293155835469119276e-03
3.166666666666666519e-01,1.503952189339296103e+09,6.348579053024532926e-04,-1.499817986581316719e-03,0.000000000000000000e+00,-1.318152801912141243e-03
3.333333333333333148e-01,1.503952189355043888e+09,7.986786641540012579e-04,-4.499453959743949724e-03,0.000000000000000000e+00,-1.393143701241207144e-03
3.499999999999999778e-01,1.503952189370814085e+09,9.890568920481997237e-04,-2.999635973162633439e-03,0.000000000000000000e+00,-1.443137634127251078e-03
3.666666666666666408e-01,1.503952189386519909e+09,1.207022108805681131e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-1.493131567013295012e-03
3.833333333333333037e-01,1.503952189403898001e+09,1.453088208332495518e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.568122466342360913e-03
4.000000000000000222e-01,1.503952189420017004e+09,1.727192661970529180e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.643113365671426815e-03
4.166666666666666852e-01,1.503952189435762882e+09,2.028650345806020869e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.718104265000492716e-03
4.333333333333333481e-01,1.503952189451667070e+09,2.356124602335528048e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.793095164329558617e-03
4.500000000000000111e-01,1.503952189468883991e+09,2.707617689683810766e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.868086063658624518e-03
4.666666666666666741e-01,1.503952189484806061e+09,3.080482215335874838e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-1.918079996544668452e-03
4.833333333333333370e-01,1.503952189501146078e+09,3.471454511515277737e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-1.993070895873734136e-03
5.000000000000000000e-01,1.503952189517724991e+09,3.876710204793388636e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-2.043064828759778070e-03
5.166666666666666075e-01,1.503952189534269094e+09,4.291941485034087185e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-2.118055728088843754e-03
5.333333333333333259e-01,1.503952189550875902e+09,4.712454812399590777e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-2.193046627417909438e-03
5.500000000000000444e-01,1.503952189567203999e+09,5.133287041395441161e-03,-7.499089932906584030e-03,0.000000000000000000e+00,-2.318031459633019056e-03
5.666666666666666519e-01,1.503952189583848953e+09,5.549337214026433401e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-2.368025392519062990e-03
5.833333333333333703e-01,1.503952189601527929e+09,5.955510606094106124e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-2.443016291848128674e-03
5.999999999999999778e-01,1.503952189618117094e+09,6.346871026449030055e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-2.493010224734172608e-03
6.166666666666666963e-01,1.503952189633966923e+09,6.718796891643532415e-03,-5.999271946325266877e-03,0.000000000000000000e+00,-2.592998090506260477e-03
6.333333333333333037e-01,1.503952189649529934e+09,7.067136248177731742e-03,-5.999271946325266877e-03,0.000000000000000000e+00,-2.692985956278348345e-03
6.500000000000000222e-01,1.503952189667241096e+09,7.388355708141601010e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-2.767976855607414029e-03
6.666666666666666297e-01,1.503952189683967113e+09,7.679678214094950647e-03,-1.499817986581316719e-03,0.000000000000000000e+00,-2.792973822050435779e-03
6.833333333333333481e-01,1.503952189700726986e+09,7.939204663339093776e-03,-1.499817986581316719e-03,0.000000000000000000e+00,-2.817970788493457529e-03
6.999999999999999556e-01,1.503952189717264891e+09,8.166014703034185640e-03,-4.499453959743949724e-03,0.000000000000000000e+00,-2.892961687822523213e-03
7.166666666666666741e-01,1.503952189733376026e+09,8.360242453246961164e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.892961687822523213e-03
7.333333333333332815e-01,1.503952189749398947e+09,8.523123516861340690e-03,2.999635973162633439e-03,0.000000000000000000e+00,-2.842967754936479279e-03
7.500000000000000000e-01,1.503952189765136957e+09,8.657010379878772241e-03,-2.999635973162633439e-03,0.000000000000000000e+00,-2.892961687822523213e-03
7.666666666666666075e-01,1.503952189780814886e+09,8.765354174416400967e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.892961687822523213e-03
7.833333333333333259e-01,1.503952189797377110e+09,8.852651746473177985e-03,2.999635973162633439e-03,0.000000000000000000e+00,-2.842967754936479279e-03
8.000000000000000444e-01,1.503952189813211918e+09,8.924358014029961511e-03,4.499453959743949724e-03,0.000000000000000000e+00,-2.767976855607413595e-03
8.166666666666666519e-01,1.503952189829834938e+09,8.986764687736407270e-03,1.349836187923184917e-02,0.000000000000000000e+00,-2.543004157620216109e-03
8.333333333333333703e-01,1.503952189845415115e+09,9.046847523355560500e-03,1.799781583897579890e-02,0.000000000000000000e+00,-2.243040560303952938e-03
8.499999999999999778e-01,1.503952189862103939e+09,9.112085347884069444e-03,1.799781583897579890e-02,0.000000000000000000e+00,-1.943076962987689551e-03
8.666666666666666963e-01,1.503952189877645969e+09,9.190255115045500509e-03,1.949763382555711605e-02,0.000000000000000000e+00,-1.618116399228404414e-03
8.833333333333333037e-01,1.503952189894937038e+09,9.289208166566215868e-03,2.999635973162633612e-02,0.000000000000000000e+00,-1.118177070367965507e-03
9.000000000000000222e-01,1.503952189911381960e+09,9.416633670982579168e-03,2.699672375846369834e-02,0.000000000000000000e+00,-6.682316743935705350e-04
9.166666666666666297e-01,1.503952189928705931e+09,9.579815852254520633e-03,3.599563167795159779e-02,0.000000000000000000e+00,-6.830447976104386896e-05
9.333333333333333481e-01,1.503952189945849895e+09,9.785392080610881213e-03,4.499453959743950071e-02,0.000000000000000000e+00,6.816045135296143823e-04
9.499999999999999556e-01,1.503952189962264061e+09,1.003911915705835503e-02,4.349472161085818356e-02,0.000000000000000000e+00,1.406516540377250775e-03
9.666666666666666741e-01,1.503952189978332996e+09,1.034565516566465261e-02,4.199490362427686641e-02,0.000000000000000000e+00,2.106431600781864984e-03
9.833333333333332815e-01,1.503952189995815992e+09,1.070836408512446970e-02,4.649435758402081786e-02,0.000000000000000000e+00,2.881337560515545310e-03
1.000000000000000000e+00,1.503952190012309074e+09,1.112914994096944783e-02,4.499453959743950071e-02,0.000000000000000000e+00,3.631246553806203453e-03
1.016666666666666607e+00,1.503952190029068947e+09,1.160832664678553179e-02,4.349472161085818356e-02,0.000000000000000000e+00,4.356158580653839846e-03
1.033333333333333215e+00,1.503952190045339108e+09,1.214452883867431221e-02,4.799417557060213502e-02,0.000000000000000000e+00,5.156061506830541923e-03
1.050000000000000044e+00,1.503952190062060118e+09,1.273466797052113901e-02,4.499453959743950071e-02,0.000000000000000000e+00,5.905970500121200499e-03
1.066666666666666652e+00,1.503952190077821016e+09,1.337393673350005877e-02,4.499453959743950071e-02,0.000000000000000000e+00,6.655879493411859076e-03
1.083333333333333259e+00,1.503952190094631910e+09,1.405586352265752147e-02,4.349472161085818356e-02,0.000000000000000000e+00,7.380791520259495468e-03
1.100000000000000089e+00,1.503952190111813068e+09,1.477241723251983274e-02,4.199490362427686641e-02,0.000000000000000000e+00,8.080706580664110544e-03
1.116666666666666696e+00,1.503952190128334999e+09,1.551416116280677701e-02,4.799417557060213502e-02,0.000000000000000000e+00,8.880609506840813488e-03
1.133333333333333304e+00,1.503952190143955946e+09,1.627045329792277742e-02,4.499453959743950071e-02,0.000000000000000000e+00,9.630518500131472065e-03
1.149999999999999911e+00,1.503952190160774946e+09,1.702968873521638199e-02,4.649435758402081786e-02,0.000000000000000000e+00,1.040542445986515283e-02
1.166666666666666741e+00,1.503952190177315950e+09,1.777957862285259663e-02,5.099381154376476932e-02,0.000000000000000000e+00,1.125532131892789840e-02
1.183333333333333348e+00,1.503952190195475101e+09,1.850745867350635579e-02,5.099381154376476932e-02,0.000000000000000000e+00,1.210521817799064398e-02
1.199999999999999956e+00,1.503952190211122990e+09,1.920061918770702911e-02,5.999271946325267224e-02,0.000000000000000000e+00,1.310509683571152093e-02
1.216666666666666563e+00,1.503952190227857113e+09,1.984664758973129009e-02,7.049144536932187843e-02,0.000000000000000000e+00,1.427995425853355316e-02
1.233333333333333393e+00,1.503952190243473053e+09,2.043377378379058681e-02,8.248998926197241566e-02,0.000000000000000000e+00,1.565478741289975939e-02
1.250000000000000000e+00,1.503952190259788990e+09,2.095120820721491778e-02,9.298871516804163573e-02,0.000000000000000000e+00,1.720459933236712091e-02
1.266666666666666607e+00,1.503952190276393890e+09,2.138946231169332191e-02,1.004878051009482215e-01,0.000000000000000000e+00,1.887939608404958988e-02
1.283333333333333215e+00,1.503952190294209957e+09,2.174064135683048682e-02,1.169858029533426963e-01,0.000000000000000000e+00,2.082915946660530288e-02
1.300000000000000044e+00,1.503952190310354948e+09,2.199869985727766902e-02,1.289843468459932474e-01,0.000000000000000000e+00,2.297889858070518987e-02
1.316666666666666652e+00,1.503952190328032970e+09,2.215965078159657861e-02,1.394830727520624536e-01,0.000000000000000000e+00,2.530361645990623215e-02
1.333333333333333259e+00,1.503952190344552040e+09,2.222172064493098398e-02,1.649799785239448313e-01,0.000000000000000000e+00,2.805328276863864462e-02
1.350000000000000089e+00,1.503952190360923052e+09,2.218544394676589399e-02,1.844776123495019404e-01,0.000000000000000000e+00,3.112790964113034548e-02
1.366666666666666696e+00,1.503952190376744986e+09,2.205369194936295310e-02,1.994757922153151120e-01,0.000000000000000000e+00,3.445250617805226123e-02
1.383333333333333304e+00,1.503952190394383907e+09,2.183163253392418623e-02,2.129741540945469525e-01,0.000000000000000000e+00,3.800207541296137664e-02
1.399999999999999911e+00,1.503952190410641909e+09,2.152661976531366345e-02,2.234728800006162142e-01,0.000000000000000000e+00,4.172662341297164734e-02
1.416666666666666741e+00,1.503952190428116083e+09,2.114801379169477247e-02,2.264725159737788207e-01,0.000000000000000000e+00,4.550116534586796241e-02
1.433333333333333348e+00,1.503952190444734097e+09,2.070693374774303791e-02,2.264725159737788207e-01,0.000000000000000000e+00,4.927570727876427747e-02
1.449999999999999956e+00,1.503952190462415934e+09,2.021594836128274078e-02,2.249726979871974897e-01,0.000000000000000000e+00,5.302525224521757036e-02
1.466666666666666563e+00,1.503952190478766918e+09,1.968871092409457332e-02,2.234728800006162142e-01,0.000000000000000000e+00,5.674980024522784106e-02
1.483333333333333393e+00,1.503952190494987965e+09,1.913954711946113871e-02,2.249726979871974897e-01,0.000000000000000000e+00,6.049934521168113394e-02
1.500000000000000000e+00,1.503952190510808945e+09,1.858300584510267847e-02,2.249726979871974897e-01,0.000000000000000000e+00,6.424889017813442682e-02
1.516666666666666607e+00,1.503952190527271986e+09,1.803338457766391623e-02,2.249726979871974897e-01,0.000000000000000000e+00,6.799843514458771276e-02
1.533333333333333215e+00,1.503952190543520927e+09,1.750424194646416076e-02,2.279723339603601517e-01,0.000000000000000000e+00,7.179797404392704308e-02
1.550000000000000044e+00,1.503952190559936047e+09,1.700791097939790761e-02,2.234728800006162142e-01,0.000000000000000000e+00,7.552252204393730683e-02
1.566666666666666652e+00,1.503952190575668097e+09,1.655502692056283476e-02,2.249726979871974897e-01,0.000000000000000000e+00,7.927206701039059278e-02
1.583333333333333259e+00,1.503952190592592955e+09,1.615408357473858622e-02,2.249726979871974897e-01,0.000000000000000000e+00,8.302161197684387872e-02
1.600000000000000089e+00,1.503952190609302044e+09,1.581103179590819668e-02,2.219730620140348831e-01,0.000000000000000000e+00,8.672116301041112030e-02
1.616666666666666696e+00,1.503952190625880957e+09,1.552893300421558792e-02,2.249726979871974897e-01,0.000000000000000000e+00,9.047070797686440624e-02
1.633333333333333304e+00,1.503952190642395973e+09,1.530767949795048752e-02,2.234728800006162142e-01,0.000000000000000000e+00,9.419525597687467000e-02
1.649999999999999911e+00,1.503952190660105944e+09,1.514379184543078287e-02,2.204732440274535521e-01,0.000000000000000000e+00,9.786981004399888939e-02
1.666666666666666741e+00,1.503952190676055908e+09,1.503030182802114062e-02,2.234728800006162142e-01,0.000000000000000000e+00,1.015943580440091532e-01
1.683333333333333348e+00,1.503952190693543911e+09,1.495672730221259475e-02,2.219730620140348831e-01,0.000000000000000000e+00,1.052939090775763947e-01
1.699999999999999956e+00,1.503952190709451914e+09,1.490914300722364846e-02,2.204732440274535521e-01,0.000000000000000000e+00,1.089684631447006141e-01
1.716666666666666563e+00,1.503952190726412058e+09,1.487034882450621355e-02,2.204732440274535521e-01,0.000000000000000000e+00,1.126430172118248335e-01
1.733333333333333393e+00,1.503952190742208958e+09,1.482013436291426678e-02,2.174736080542909178e-01,0.000000000000000000e+00,1.162675773460630224e-01
1.750000000000000000e+00,1.503952190759325981e+09,1.473563606896885481e-02,2.129741540945469525e-01,0.000000000000000000e+00,1.198171465809721448e-01
1.766666666666666607e+00,1.503952190775865078e+09,1.459178041934477109e-02,2.024754281884777740e-01,0.000000000000000000e+00,1.231917370507801118e-01
1.783333333333333215e+00,1.503952190793400049e+09,1.436180421699870258e-02,1.919767022824085401e-01,0.000000000000000000e+00,1.263913487554869097e-01
1.800000000000000044e+00,1.503952190809570074e+09,1.401784065657938824e-02,1.769785224165953685e-01,0.000000000000000000e+00,1.293409907957634997e-01
1.816666666666666652e+00,1.503952190830190897e+09,1.353155771888799735e-02,1.619803425507821970e-01,0.000000000000000000e+00,1.320406631716098678e-01
1.833333333333333259e+00,1.503952190843229055e+09,1.287483366277731613e-02,1.439825267118063912e-01,0.000000000000000000e+00,1.344403719501399697e-01
1.849999999999999867e+00,1.503952190862163067e+09,1.202045296320758579e-02,1.319839828191558817e-01,0.000000000000000000e+00,1.366401049971258941e-01
1.866666666666666696e+00,1.503952190874942064e+09,1.094280504434230056e-02,1.184856209399240273e-01,0.000000000000000000e+00,1.386148653461246327e-01
1.883333333333333304e+00,1.503952190890991926e+09,9.618567613991362703e-03,9.298871516804163573e-02,0.000000000000000000e+00,1.401646772655919804e-01
1.899999999999999911e+00,1.503952190907294035e+09,8.027356345886945202e-03,7.199126335590319559e-02,0.000000000000000000e+00,1.413645316548570452e-01
