# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503952751105192900e+09,-0.000000000000000000e+00,2.099745181213843320e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503952751105709076e+09,-1.798929827055640890e-06,4.760742187500000000e-03,0.000000000000000000e+00,7.934570312499998916e-05
3.333333333333333287e-02,1.503952751113054991e+09,-7.143096105243524524e-06,1.799781583897579890e-02,1.413869948528467420e-06,3.793328649404053969e-04
5.000000000000000278e-02,1.503952751130656958e+09,-1.610466661814614789e-05,2.249726979871975036e-02,5.480904621995249357e-06,7.543787099961011839e-04
6.666666666666666574e-02,1.503952751147984028e+09,-2.895384448307132715e-05,2.549690577188238466e-02,1.197178372019448439e-05,1.179526669256144179e-03
8.333333333333332871e-02,1.503952751164936066e+09,-4.614755680175652706e-05,2.549690577188238466e-02,2.069039208931063465e-05,1.604819938655672237e-03
1.000000000000000056e-01,1.503952751180587053e+09,-6.831024298560356336e-05,2.549690577188238466e-02,3.145911940556328203e-05,2.030292686843804869e-03
1.166666666666666685e-01,1.503952751197067022e+09,-9.620762854014538220e-05,2.099745181213843320e-02,4.410249646159308714e-05,2.380985258653805364e-03
1.333333333333333315e-01,1.503952751213542938e+09,-1.307146554978873428e-04,2.549690577188238466e-02,5.843004229691513073e-05,2.806907522223460200e-03
1.499999999999999944e-01,1.503952751231271029e+09,-1.727789801094829173e-04,1.949763382555711605e-02,7.421922989269736943e-05,3.133105073147623987e-03
1.666666666666666574e-01,1.503952751248253107e+09,-2.233816324214081377e-04,1.949763382555711605e-02,9.119947392158423295e-05,3.459585628138935661e-03
1.833333333333333204e-01,1.503952751265254021e+09,-2.834965535923031810e-04,1.649799785239448521e-02,1.090380022054298579e-04,3.736369559048934117e-03
2.000000000000000111e-01,1.503952751281977892e+09,-3.540507801474801052e-04,1.799781583897579890e-02,1.273283945496202273e-04,4.038455296274358168e-03
2.166666666666666741e-01,1.503952751298907042e+09,-4.358870272687663831e-04,2.699672375846369834e-02,1.455824612706091144e-04,4.490827066603263022e-03
2.333333333333333370e-01,1.503952751315608978e+09,-5.297303357130522588e-04,2.699672375846369834e-02,1.632259930194410863e-04,4.943492895794648380e-03
2.500000000000000000e-01,1.503952751333565950e+09,-6.361602917354371124e-04,1.949763382555711605e-02,1.795987485318640664e-04,5.271446772029464607e-03
2.666666666666666630e-01,1.503952751350158930e+09,-7.555901117132752349e-04,2.249726979871975036e-02,1.939588637388215840e-04,5.649633916403774304e-03
2.833333333333333259e-01,1.503952751366386890e+09,-8.882536106725638213e-04,2.699672375846369834e-02,2.054916710143152943e-04,6.103004173561740915e-03
2.999999999999999889e-01,1.503952751382009983e+09,-1.034200756394932025e-03,2.249726979871975036e-02,2.133227184913829547e-04,6.481514048848593425e-03
