# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296464234261036e+09,0.000000000000000000e+00,4.499453959743949724e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296464234723091e+09,0.000000000000000000e+00,1.098632812500000000e-03,0.000000000000000000e+00,1.831054687499999932e-05
3.333333333333333287e-02,1.504296464243479013e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.817254851680025241e-07,1.183047747385072726e-04
5.000000000000000278e-02,1.504296464260317087e+09,0.000000000000000000e+00,4.499453959743949724e-03,1.300879160145474001e-06,1.933173553869088450e-04
6.666666666666666574e-02,1.504296464276858091e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.492678168490824970e-06,2.933467657951381244e-04
8.333333333333332871e-02,1.504296464293169975e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.823260550326531765e-06,3.933983525763979716e-04
1.000000000000000056e-01,1.504296464309823990e+09,0.000000000000000000e+00,5.999271946325266877e-03,5.328717903556420757e-06,4.934750303135450235e-04
1.166666666666666685e-01,1.504296464325977087e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.251277399833045257e-06,5.935837507089633753e-04
1.333333333333333315e-01,1.504296464341511011e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.007052534532055656e-05,7.187364250131618015e-04
1.499999999999999944e-01,1.504296464358927965e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.452765292379677706e-05,8.189664183339795097e-04
1.666666666666666574e-01,1.504296464375557899e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.164088504001222748e-05,9.193149655234007745e-04
1.833333333333333204e-01,1.504296464393234015e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.271052087503867475e-05,1.044844973086427910e-03
2.000000000000000111e-01,1.504296464409949064e+09,0.000000000000000000e+00,4.499453959743949724e-03,4.931236195258694631e-05,1.120657745114703608e-03
2.166666666666666741e-01,1.504296464426820040e+09,0.000000000000000000e+00,2.999635973162633439e-03,7.327871900694729536e-05,1.171872989984196634e-03
2.333333333333333370e-01,1.504296464443461895e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.066666586335454062e-04,1.273638633400176823e-03
2.500000000000000000e-01,1.504296464460483074e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.517136580324148691e-04,1.376155060139471527e-03
2.666666666666666630e-01,1.504296464477556944e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.107813626672053490e-04,1.504652915065701367e-03
2.833333333333333259e-01,1.504296464495485067e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.862886676406794974e-04,1.609412258631800390e-03
2.999999999999999889e-01,1.504296464512115002e+09,0.000000000000000000e+00,7.499089932906584030e-03,3.806358487452030700e-04,1.740741021659330222e-03
3.166666666666666519e-01,1.504296464528155088e+09,0.000000000000000000e+00,1.499817986581316719e-03,4.961219333511698729e-04,1.774006686991538373e-03
3.333333333333333148e-01,1.504296464544358015e+09,0.000000000000000000e+00,8.998907919487899448e-03,6.348579053024532926e-04,1.934569450738044243e-03
3.499999999999999778e-01,1.504296464561758995e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.986786641540012579e-04,2.072865594022387393e-03
3.666666666666666408e-01,1.504296464578088999e+09,0.000000000000000000e+00,5.999271946325266877e-03,9.890568920481997237e-04,2.189337741328611746e-03
3.833333333333333037e-01,1.504296464594989061e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.207022108805681131e-03,2.309442642247461035e-03
4.000000000000000222e-01,1.504296464611129045e+09,0.000000000000000000e+00,1.199854389265053375e-02,1.453088208332495518e-03,2.533636510597177954e-03
4.166666666666666852e-01,1.504296464628650904e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.727192661970529180e-03,2.687407887178463236e-03
4.333333333333333481e-01,1.504296464645133018e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.028650345806020869e-03,2.821206592047318003e-03
4.500000000000000111e-01,1.504296464661751986e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.356124602335528048e-03,2.960463201191664440e-03
4.666666666666666741e-01,1.504296464678549051e+09,0.000000000000000000e+00,5.999271946325266877e-03,2.707617689683810766e-03,3.105578028458482430e-03
4.833333333333333370e-01,1.504296464696379900e+09,0.000000000000000000e+00,8.998907919487899448e-03,3.080482215335874838e-03,3.306901197372212001e-03
5.000000000000000000e-01,1.504296464712232113e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.471454511515277737e-03,3.464746638336221006e-03
5.166666666666666075e-01,1.504296464728682995e+09,0.000000000000000000e+00,1.499817986581316719e-03,3.876710204793388636e-03,3.554355441525799356e-03
5.333333333333333259e-01,1.504296464745163918e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.291941485034087185e-03,3.750872631824810500e-03
5.500000000000000444e-01,1.504296464762284040e+09,0.000000000000000000e+00,4.499453959743949724e-03,4.712454812399590777e-03,3.904404444693869609e-03
5.666666666666666519e-01,1.504296464778409958e+09,0.000000000000000000e+00,4.499453959743949724e-03,5.133287041395441161e-03,4.064950128046192906e-03
5.833333333333333703e-01,1.504296464794725895e+09,0.000000000000000000e+00,5.999271946325266877e-03,5.549337214026433401e-03,4.257426947385387940e-03
5.999999999999999778e-01,1.504296464811284065e+09,0.000000000000000000e+00,8.998907919487899448e-03,5.955510606094106124e-03,4.506667256145088438e-03
6.166666666666666963e-01,1.504296464829288960e+09,0.000000000000000000e+00,1.049872590606921660e-02,6.346871026449030055e-03,4.787427205020392505e-03
6.333333333333333037e-01,1.504296464845432997e+09,0.000000000000000000e+00,1.499817986581316719e-03,6.718796891643532415e-03,4.924404119657473447e-03
6.500000000000000222e-01,1.504296464861736059e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.067136248177731742e-03,5.142177589565856584e-03
6.666666666666666297e-01,1.504296464877947092e+09,0.000000000000000000e+00,7.499089932906584030e-03,7.388355708141601010e-03,5.390301683583326349e-03
6.833333333333333481e-01,1.504296464894655943e+09,0.000000000000000000e+00,4.499453959743949724e-03,7.679678214094950647e-03,5.593287219813974920e-03
6.999999999999999556e-01,1.504296464910398960e+09,0.000000000000000000e+00,5.999271946325266877e-03,7.939204663339093776e-03,5.825595163308380960e-03
7.166666666666666741e-01,1.504296464927535057e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.166014703034185640e-03,6.086680240574060367e-03
7.333333333333332815e-01,1.504296464944652081e+09,0.000000000000000000e+00,5.999271946325266877e-03,8.360242453246961164e-03,6.326005480566930864e-03
7.500000000000000000e-01,1.504296464961313009e+09,0.000000000000000000e+00,1.199854389265053375e-02,8.523123516861340690e-03,6.668033270725462307e-03
