# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296752731997013e+09,-0.000000000000000000e+00,-1.799781583897579890e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296752732546091e+09,-2.147917641751685147e-06,-4.760742187500000000e-03,0.000000000000000000e+00,-7.934570312499998916e-05
3.333333333333333287e-02,1.504296752741025925e+09,-8.764447890478153669e-06,-1.799781583897579890e-02,2.036121991559252359e-06,-3.792753650747372491e-04
5.000000000000000278e-02,1.504296752758074045e+09,-2.010613480534787772e-05,-2.099745181213843320e-02,8.870962340705919414e-06,-7.290850459046992887e-04
6.666666666666666574e-02,1.504296752774131060e+09,-3.641188470135284743e-05,-1.949763382555711605e-02,2.149838682797131008e-05,-1.053687303216851784e-03
8.333333333333332871e-02,1.504296752792176962e+09,-5.788539582759026761e-05,-1.949763382555711605e-02,4.077125756175501819e-05,-1.377968346016774509e-03
1.000000000000000056e-01,1.504296752808836937e+09,-8.467853633946515466e-05,-1.949763382555711605e-02,6.738982318432458051e-05,-1.701805746056321133e-03
1.166666666666666685e-01,1.504296752825872898e+09,-1.168766158252789247e-04,-1.949763382555711605e-02,1.018961169972662468e-04,-2.025068041198985289e-03
1.333333333333333315e-01,1.504296752842554092e+09,-1.544864480217000185e-04,-1.949763382555711605e-02,1.446742750637536659e-04,-2.347617367040541383e-03
1.499999999999999944e-01,1.504296752859791040e+09,-1.974280167416706932e-04,-1.949763382555711605e-02,1.959564292923599938e-04,-2.669311990311620635e-03
1.666666666666666574e-01,1.504296752875778913e+09,-2.455304358554707901e-04,-2.099745181213843320e-02,2.558335955227125928e-04,-3.015005627255215939e-03
1.833333333333333204e-01,1.504296752892782927e+09,-2.985327411237056528e-04,-1.799781583897579890e-02,3.242707734298126373e-04,-3.309564711680982457e-03
2.000000000000000111e-01,1.504296752908972025e+09,-3.560898716819140670e-04,-2.099745181213843320e-02,4.011253119695700289e-04,-3.652836820017130171e-03
2.166666666666666741e-01,1.504296752925086975e+09,-4.177839979613533336e-04,-2.099745181213843320e-02,4.861674777229892824e-04,-3.994691558924054475e-03
2.333333333333333370e-01,1.504296752940831900e+09,-4.831411375935639038e-04,-2.099745181213843320e-02,5.791020985136316728e-04,-4.334997387484467411e-03
2.500000000000000000e-01,1.504296752956603050e+09,-5.516527788195227855e-04,-1.799781583897579890e-02,6.795901435750629615e-04,-4.623634482407813079e-03
