# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.504296799465677023e+09,-0.000000000000000000e+00,-2.849654174504501897e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.504296799466123104e+09,-3.817254851680025241e-07,-6.958007812500000000e-03,0.000000000000000000e+00,-1.159667968749999946e-04
3.333333333333333287e-02,1.504296799476327896e+09,-1.300879160145474001e-06,-2.549690577188238466e-02,0.000000000000000000e+00,-5.409152264063730271e-04
5.000000000000000278e-02,1.504296799493835926e+09,-2.492678168490824970e-06,-2.699672375846369834e-02,0.000000000000000000e+00,-9.908606223807681079e-04
6.666666666666666574e-02,1.504296799509453058e+09,-3.823260550326531765e-06,-2.549690577188238466e-02,0.000000000000000000e+00,-1.415809051912141113e-03
8.333333333333332871e-02,1.504296799526422977e+09,-5.328717903556420757e-06,-2.849654174504501897e-02,0.000000000000000000e+00,-1.890751414329558053e-03
1.000000000000000056e-01,1.504296799544089079e+09,-7.251277399833045257e-06,-2.549690577188238466e-02,0.000000000000000000e+00,-2.315699843860931275e-03
1.166666666666666685e-01,1.504296799561939955e+09,-1.007052534532055656e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-2.765645239835326247e-03
1.333333333333333315e-01,1.504296799578564882e+09,-1.452765292379677706e-05,-2.549690577188238466e-02,0.000000000000000000e+00,-3.190593669366699470e-03
1.499999999999999944e-01,1.504296799595432043e+09,-2.164088504001222748e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-3.640539065341094442e-03
1.666666666666666574e-01,1.504296799613200903e+09,-3.271052087503867475e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-4.115481427758511598e-03
1.833333333333333204e-01,1.504296799631239891e+09,-4.931236195258694631e-05,-2.699672375846369834e-02,0.000000000000000000e+00,-4.565426823732906571e-03
2.000000000000000111e-01,1.504296799647896051e+09,-7.327871900694729536e-05,-2.849654174504501897e-02,0.000000000000000000e+00,-5.040369186150323727e-03
2.166666666666666741e-01,1.504296799664169073e+09,-1.066666586335454062e-04,-2.849654174504501897e-02,0.000000000000000000e+00,-5.515311548567740883e-03
2.333333333333333370e-01,1.504296799679851055e+09,-1.517136580324148691e-04,-2.699672375846369834e-02,0.000000000000000000e+00,-5.965256944542135856e-03
2.500000000000000000e-01,1.504296799696681976e+09,-2.107813626672053490e-04,-2.249726979871975036e-02,0.000000000000000000e+00,-6.340211441187465144e-03
2.666666666666666630e-01,1.504296799712704897e+09,-2.862886676406794974e-04,-2.549690577188238466e-02,0.000000000000000000e+00,-6.765159870718837933e-03
2.833333333333333259e-01,1.504296799729533911e+09,-3.806358487452030700e-04,-2.549690577188238466e-02,0.000000000000000000e+00,-7.190108300250210721e-03
