# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503097754780884027e+09,0.000000000000000000e+00,-4.049508563769554925e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503097754781764984e+09,1.798929827055640890e-06,-8.789062500000000000e-03,0.000000000000000000e+00,-1.464843749999999946e-04
3.333333333333333287e-02,1.503097754789263010e+09,7.143096105243524524e-06,-4.199490362427686641e-02,-1.413869948528467420e-06,-8.464229999037565762e-04
5.000000000000000278e-02,1.503097754806159973e+09,1.610466661814614789e-05,-5.099381154376476932e-02,-5.480904621995249357e-06,-1.696411207376869248e-03
6.666666666666666574e-02,1.503097754822840929e+09,2.895384448307132715e-05,-6.899162738274057516e-02,-1.197178372019448439e-05,-2.846471193484548853e-03
8.333333333333332871e-02,1.503097754839670897e+09,4.614755680175652706e-05,-8.698944322171636712e-02,-2.069039208931063465e-05,-4.296640087047976474e-03
1.000000000000000056e-01,1.503097754856100082e+09,6.831024298560356336e-05,-9.298871516804163573e-02,-3.145911940556328203e-05,-5.846976325172096103e-03
1.166666666666666685e-01,1.503097754873912096e+09,9.620762854014538220e-05,-9.148889718146031858e-02,-4.410249646159308714e-05,-7.372526319804127530e-03
1.333333333333333315e-01,1.503097754890305996e+09,1.307146554978873428e-04,-9.148889718146031858e-02,-5.843004229691513073e-05,-8.898315106866748481e-03
1.499999999999999944e-01,1.503097754906953096e+09,1.727789801094829173e-04,-9.298871516804163573e-02,-7.421922989269736943e-05,-1.044936401349898757e-02
1.666666666666666574e-01,1.503097754923285007e+09,2.233816324214081377e-04,-9.448853315462296676e-02,-9.119947392158423295e-05,-1.202569289064139672e-02
1.833333333333333204e-01,1.503097754940064907e+09,2.834965535923031810e-04,-8.998907919487900142e-02,-1.090380022054298579e-04,-1.352732817725947091e-02
2.000000000000000111e-01,1.503097754956126928e+09,3.540507801474801052e-04,-8.998907919487900142e-02,-1.273283945496202273e-04,-1.502926830374994721e-02
2.166666666666666741e-01,1.503097754973213911e+09,4.358870272687663831e-04,-8.998907919487900142e-02,-1.455824612706091144e-04,-1.653151266468577338e-02
2.333333333333333370e-01,1.503097754990073919e+09,5.297303357130522588e-04,-9.148889718146031858e-02,-1.632259930194410863e-04,-1.805904805092710397e-02
2.500000000000000000e-01,1.503097755006249905e+09,6.361602917354371124e-04,-8.998907919487900142e-02,-1.795987485318640664e-04,-1.956185934998395243e-02
2.666666666666666630e-01,1.503097755022937059e+09,7.555901117132752349e-04,-8.998907919487900142e-02,-1.939588637388215840e-04,-2.106490998429424999e-02
2.833333333333333259e-01,1.503097755040512085e+09,8.882536106725638213e-04,-8.848926120829768427e-02,-2.054916710143152943e-04,-2.254315586561611573e-02
