# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503097807026223898e+09,-0.000000000000000000e+00,5.849290147667134815e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503097807026735067e+09,-1.798929827055640890e-06,1.391601562500000000e-02,0.000000000000000000e+00,2.319335937499999892e-04
3.333333333333333287e-02,1.503097807034116983e+09,-7.143096105243524524e-06,5.099381154376476932e-02,1.413869948528467420e-06,1.081854017311888183e-03
5.000000000000000278e-02,1.503097807050935030e+09,-1.610466661814614789e-05,4.799417557060213502e-02,5.480904621995249357e-06,1.881848291898956813e-03
6.666666666666666574e-02,1.503097807067639112e+09,-2.895384448307132715e-05,4.499453959743950071e-02,1.197178372019448439e-05,2.631956814918285162e-03
8.333333333333332871e-02,1.503097807084320068e+09,-4.614755680175652706e-05,4.649435758402081786e-02,2.069039208931063465e-05,3.407207614520120324e-03
1.000000000000000056e-01,1.503097807099986076e+09,-6.831024298560356336e-05,4.649435758402081786e-02,3.145911940556328203e-05,4.182637892910560061e-03
1.166666666666666685e-01,1.503097807117762089e+09,-9.620762854014538220e-05,4.499453959743950071e-02,4.410249646159308714e-05,4.933281927808911595e-03
1.333333333333333315e-01,1.503097807134428024e+09,-1.307146554978873428e-04,4.649435758402081786e-02,5.843004229691513073e-05,5.709161721580873969e-03
1.499999999999999944e-01,1.503097807151362896e+09,-1.727789801094829173e-04,4.499453959743950071e-02,7.421922989269736943e-05,6.460307702036410110e-03
1.666666666666666574e-01,1.503097807165893078e+09,-2.233816324214081377e-04,4.649435758402081786e-02,9.119947392158423295e-05,7.236733653002116323e-03
1.833333333333333204e-01,1.503097807182766914e+09,-2.834965535923031810e-04,3.449581369137028758e-02,1.090380022054298579e-04,7.813481181228378383e-03
2.000000000000000111e-01,1.503097807199455976e+09,-3.540507801474801052e-04,4.199490362427686641e-02,1.273283945496202273e-04,8.515518381542153473e-03
2.166666666666666741e-01,1.503097807215943098e+09,-4.358870272687663831e-04,4.499453959743950071e-02,1.455824612706091144e-04,9.267853749187322798e-03
2.333333333333333370e-01,1.503097807231972933e+09,-5.297303357130522588e-04,4.349472161085818356e-02,1.632259930194410863e-04,9.995486209251950444e-03
2.500000000000000000e-01,1.503097807249188900e+09,-6.361602917354371124e-04,4.199490362427686641e-02,1.795987485318640664e-04,1.069839458213209596e-02
2.666666666666666630e-01,1.503097807265861034e+09,-7.555901117132752349e-04,4.499453959743950071e-02,1.939588637388215840e-04,1.145153622315173494e-02
2.833333333333333259e-01,1.503097807283958912e+09,-8.882536106725638213e-04,4.499453959743950071e-02,2.054916710143152943e-04,1.220487007762596429e-02
2.999999999999999889e-01,1.503097807300240040e+09,-1.034200756394932025e-03,4.349472161085818356e-02,2.133227184913829547e-04,1.293333748311512391e-02
3.166666666666666519e-01,1.503097807316845894e+09,-1.193302159824387266e-03,4.049508563769554925e-02,2.165345838736542565e-04,1.361186448680794421e-02
