# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098068868983984e+09,0.000000000000000000e+00,2.249726979871975036e-02,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098068869620085e+09,0.000000000000000000e+00,5.493164062500000000e-03,0.000000000000000000e+00,9.155273437500000000e-05
3.333333333333333287e-02,1.503098068873985052e+09,0.000000000000000000e+00,2.399708778530106751e-02,-3.449991940087718720e-06,4.914466975976829449e-04
5.000000000000000278e-02,1.503098068891586065e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.435186696270116538e-05,8.911589629033223655e-04
6.666666666666666574e-02,1.503098068908871889e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.347017054816579616e-05,1.265555623372848805e-03
8.333333333333332871e-02,1.503098068925218105e+09,0.000000000000000000e+00,2.249726979871975036e-02,-6.146164965106564945e-05,1.639485759190660195e-03
1.000000000000000056e-01,1.503098068941912889e+09,0.000000000000000000e+00,2.399708778530106751e-02,-9.884894258988788287e-05,2.037789739902513310e-03
1.166666666666666685e-01,1.503098068958580971e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.459986134588593340e-04,2.410310926323528009e-03
1.333333333333333315e-01,1.503098068974397898e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.031043173606687899e-04,2.781880351012845989e-03
1.499999999999999944e-01,1.503098068991780043e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.701756591850573361e-04,3.177328886448112927e-03
1.666666666666666574e-01,1.503098069007683039e+09,0.000000000000000000e+00,2.249726979871975036e-02,-3.470330694442967851e-04,3.546499498602703662e-03
1.833333333333333204e-01,1.503098069024319887e+09,0.000000000000000000e+00,2.099745181213843320e-02,-4.333087756352424816e-04,3.889235215877756644e-03
2.000000000000000111e-01,1.503098069042440891e+09,0.000000000000000000e+00,2.249726979871975036e-02,-5.284537065191901748e-04,4.255382150747766094e-03
2.166666666666666741e-01,1.503098069058060884e+09,0.000000000000000000e+00,2.099745181213843320e-02,-6.317499389935983967e-04,4.594810515300179650e-03
2.333333333333333370e-01,1.503098069074111938e+09,0.000000000000000000e+00,2.399708778530106751e-02,-7.423280915330726778e-04,4.982389843529646568e-03
2.500000000000000000e-01,1.503098069089700937e+09,0.000000000000000000e+00,2.399708778530106751e-02,-8.591888921069270550e-04,5.368021491749548797e-03
2.666666666666666630e-01,1.503098069107034922e+09,0.000000000000000000e+00,2.249726979871975036e-02,-9.812280083208247197e-04,5.726622188256197746e-03
2.833333333333333259e-01,1.503098069125103951e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.107263128026671770e-03,6.083122299434415466e-03
2.999999999999999889e-01,1.503098069142288923e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.236062222851758976e-03,6.437475759032215347e-03
3.166666666666666519e-01,1.503098069158901930e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.366371916288026695e-03,6.789657390406077415e-03
3.333333333333333148e-01,1.503098069175671101e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.496944911626447560e-03,7.139662805190965730e-03
3.499999999999999778e-01,1.503098069192601919e+09,0.000000000000000000e+00,2.399708778530106751e-02,-1.626565510836711862e-03,7.512504843098705143e-03
3.666666666666666408e-01,1.503098069208489895e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.754072369554646616e-03,7.858224800251457573e-03
3.833333333333333037e-01,1.503098069225481033e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.878377780257677347e-03,8.201873000559158772e-03
4.000000000000000222e-01,1.503098069241646051e+09,0.000000000000000000e+00,2.249726979871975036e-02,-1.998482948850998416e-03,8.543519448056971152e-03
4.166666666666666852e-01,1.503098069259135962e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.113488921655757094e-03,8.883249129341370259e-03
4.333333333333333481e-01,1.503098069275440931e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.222603021926982877e-03,9.246157208730938423e-03
4.500000000000000111e-01,1.503098069292555094e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.325140858943720249e-03,9.582359357727205859e-03
4.666666666666666741e-01,1.503098069308094025e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.420524169827335641e-03,9.941968751318435230e-03
4.833333333333333370e-01,1.503098069326850891e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.508274936323450204e-03,1.027511866569170637e-02
5.000000000000000000e-01,1.503098069342463970e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.588006378265526007e-03,1.055694578981323205e-02
5.166666666666666075e-01,1.503098069361234903e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.659411555727109275e-03,1.091257372697279800e-02
5.333333333333333259e-01,1.503098069377209902e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.722250407591706757e-03,1.124215738349159874e-02
5.500000000000000444e-01,1.503098069395318985e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.776336111486242889e-03,1.159583657805517837e-02
5.666666666666666519e-01,1.503098069411043882e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.821521666385828908e-03,1.192376571359407729e-02
5.833333333333333703e-01,1.503098069429137945e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.857687574040614770e-03,1.222609511756237409e-02
5.999999999999999778e-01,1.503098069445583105e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.884731429746351539e-03,1.255297075704526338e-02
6.166666666666666963e-01,1.503098069461637020e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.902560129604556897e-03,1.290454621797353790e-02
6.333333333333333037e-01,1.503098069479243994e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.911085264596321737e-03,1.318098869398955097e-02
6.500000000000000222e-01,1.503098069498119116e+09,0.000000000000000000e+00,2.549690577188238466e-02,-2.910222107238315085e-03,1.355743342173361919e-02
6.666666666666666297e-01,1.503098069514111996e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.899892411209913177e-03,1.388405637819211703e-02
6.833333333333333481e-01,1.503098069532979012e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.880031045974311508e-03,1.418601339096151916e-02
6.999999999999999556e-01,1.503098069550616980e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.850596285529111151e-03,1.453845491595771866e-02
7.166666666666666741e-01,1.503098069568293095e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.811583371774197242e-03,1.484155272329712276e-02
7.333333333333332815e-01,1.503098069584781885e+09,0.000000000000000000e+00,2.399708778530106751e-02,-2.763040787289875681e-03,1.519545350659730863e-02
7.500000000000000000e-01,1.503098069602083921e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.705088507892895733e-03,1.547532926189171265e-02
7.666666666666666075e-01,1.503098069619918108e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.637937369769647114e-03,1.578132116926452694e-02
7.833333333333333259e-01,1.503098069636620045e+09,0.000000000000000000e+00,2.249726979871975036e-02,-2.561908585816536667e-03,1.611357718947958179e-02
8.000000000000000444e-01,1.503098069654238939e+09,0.000000000000000000e+00,1.949763382555711605e-02,-2.477452386271492002e-03,1.639724688013434115e-02
8.166666666666666519e-01,1.503098069671928883e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.385164743470539420e-03,1.670745166461213779e-02
8.333333333333333703e-01,1.503098069687927961e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.285801171558538708e-03,1.701931250862180264e-02
8.499999999999999778e-01,1.503098069705838919e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.180286669333937697e-03,1.733293192766854549e-02
8.666666666666666963e-01,1.503098069721421957e+09,0.000000000000000000e+00,2.099745181213843320e-02,-2.069720996346490708e-03,1.764839410793174468e-02
