# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098170919416904e+09,0.000000000000000000e+00,1.649799785239448521e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098170919882059e+09,0.000000000000000000e+00,4.394531250000000000e-03,0.000000000000000000e+00,7.324218749999999729e-05
3.333333333333333287e-02,1.503098170930713892e+09,0.000000000000000000e+00,1.199854389265053375e-02,5.533874176911749648e-06,2.733101502804573734e-04
5.000000000000000278e-02,1.503098170947551012e+09,0.000000000000000000e+00,8.998907919487899448e-03,2.246585738844798167e-05,4.236663798950631669e-04
6.666666666666666574e-02,1.503098170965073109e+09,0.000000000000000000e+00,1.049872590606921660e-02,5.127754235841473405e-05,5.994997707021903002e-04
8.333333333333332871e-02,1.503098170983278990e+09,0.000000000000000000e+00,4.499453959743949724e-03,9.238118567068819714e-05,6.760303564591009420e-04
1.000000000000000056e-01,1.503098171000099897e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.460559333900881445e-04,8.034494542307122050e-04
1.166666666666666685e-01,1.503098171017189026e+09,0.000000000000000000e+00,8.998907919487899448e-03,2.123860144856160579e-04,9.569710197969374553e-04
1.333333333333333315e-01,1.503098171033253908e+09,0.000000000000000000e+00,7.499089932906584030e-03,2.912036602790000106e-04,1.086809246350030431e-03
1.499999999999999944e-01,1.503098171050340891e+09,0.000000000000000000e+00,5.999271946325266877e-03,3.820393804546372827e-04,1.193164435129695543e-03
1.666666666666666574e-01,1.503098171065911055e+09,0.000000000000000000e+00,7.499089932906584030e-03,4.840819961801292475e-04,1.326217300614474046e-03
1.833333333333333204e-01,1.503098171084232092e+09,0.000000000000000000e+00,7.499089932906584030e-03,5.961505058324608137e-04,1.461137974593458176e-03
2.000000000000000111e-01,1.503098171100472927e+09,0.000000000000000000e+00,8.998907919487899448e-03,7.166794494368970009e-04,1.623064430742204725e-03
2.166666666666666741e-01,1.503098171117549896e+09,0.000000000000000000e+00,7.499089932906584030e-03,8.437189580923983067e-04,1.762111245592187878e-03
2.333333333333333370e-01,1.503098171134582043e+09,0.000000000000000000e+00,8.998907919487899448e-03,9.749501409648655753e-04,1.928342213266400623e-03
2.500000000000000000e-01,1.503098171151550055e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.107715893606488287e-03,2.121782909927662306e-03
2.666666666666666630e-01,1.503098171167222977e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.239066627642610883e-03,2.292415819046504134e-03
2.833333333333333259e-01,1.503098171185444117e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.365819844308707254e-03,2.440164315333425479e-03
2.999999999999999889e-01,1.503098171201045036e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.484631924057535930e-03,2.639886945835538071e-03
3.166666666666666519e-01,1.503098171218482018e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.592080001974978832e-03,2.841400377636274684e-03
3.333333333333333148e-01,1.503098171236119032e+09,0.000000000000000000e+00,1.199854389265053375e-02,1.684751363147112815e-03,3.069455298566235550e-03
3.499999999999999778e-01,1.503098171254400015e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.759337440447660906e-03,3.273756354341516694e-03
3.666666666666666408e-01,1.503098171272057056e+09,0.000000000000000000e+00,7.499089932906584030e-03,1.812729243806999449e-03,3.428953340620076624e-03
3.833333333333333037e-01,1.503098171289288044e+09,0.000000000000000000e+00,1.199854389265053375e-02,1.842110905989324029e-03,3.659630920597407421e-03
4.000000000000000222e-01,1.503098171306963921e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.845048002676580919e-03,3.840363519300148739e-03
4.166666666666666852e-01,1.503098171325326920e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.819567397677700248e-03,4.020671441252909178e-03
4.333333333333333481e-01,1.503098171341142893e+09,0.000000000000000000e+00,1.199854389265053375e-02,1.764225576610288504e-03,4.250050932407256447e-03
4.500000000000000111e-01,1.503098171358805895e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.678162759473531343e-03,4.428002110389946643e-03
4.666666666666666741e-01,1.503098171375283003e+09,0.000000000000000000e+00,8.998907919487899448e-03,1.561140515049872684e-03,4.604002917632243029e-03
4.833333333333333370e-01,1.503098171393100977e+09,0.000000000000000000e+00,5.999271946325266877e-03,1.413561125051614057e-03,4.727550135488524548e-03
5.000000000000000000e-01,1.503098171410206079e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.236467546864621070e-03,4.923136693037421553e-03
5.166666666666666075e-01,1.503098171427078962e+09,0.000000000000000000e+00,1.049872590606921660e-02,1.031523481118459861e-03,5.115307516157216287e-03
5.333333333333333259e-01,1.503098171444175005e+09,0.000000000000000000e+00,8.998907919487899448e-03,8.009737422133024996e-04,5.278638877185569400e-03
