# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098555768933058e+09,-0.000000000000000000e+00,4.649435758402081786e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098555769376993e+09,-3.817254851680025241e-07,1.171875000000000000e-02,0.000000000000000000e+00,1.953124999999999837e-04
3.333333333333333287e-02,1.503098555779968023e+09,-1.300879160145474001e-06,4.649435758402081786e-02,0.000000000000000000e+00,9.702184597336802833e-04
5.000000000000000278e-02,1.503098555797724962e+09,-2.492678168490824970e-06,4.949399355718345217e-02,0.000000000000000000e+00,1.795118352353404327e-03
6.666666666666666574e-02,1.503098555815351963e+09,-3.823260550326531765e-06,4.799417557060213502e-02,0.000000000000000000e+00,2.595021278530106404e-03
8.333333333333332871e-02,1.503098555832338095e+09,-5.328717903556420757e-06,4.799417557060213502e-02,0.000000000000000000e+00,3.394924204706808481e-03
1.000000000000000056e-01,1.503098555848707914e+09,-7.251277399833045257e-06,4.799417557060213502e-02,0.000000000000000000e+00,4.194827130883510558e-03
1.166666666666666685e-01,1.503098555864727020e+09,-1.007052534532055656e-05,4.649435758402081786e-02,0.000000000000000000e+00,4.969733090617191318e-03
1.333333333333333315e-01,1.503098555880527973e+09,-1.452765292379677706e-05,4.649435758402081786e-02,0.000000000000000000e+00,5.744639050350872078e-03
1.499999999999999944e-01,1.503098555897561073e+09,-2.164088504001222748e-05,4.949399355718345217e-02,0.000000000000000000e+00,6.569538942970596339e-03
1.666666666666666574e-01,1.503098555913217068e+09,-3.271052087503867475e-05,4.799417557060213502e-02,0.000000000000000000e+00,7.369441869147298416e-03
1.833333333333333204e-01,1.503098555929616928e+09,-4.931236195258694631e-05,4.649435758402081786e-02,0.000000000000000000e+00,8.144347828880979176e-03
2.000000000000000111e-01,1.503098555945523024e+09,-7.327871900694729536e-05,4.499453959743950071e-02,0.000000000000000000e+00,8.894256822171637752e-03
2.166666666666666741e-01,1.503098555962497950e+09,-1.066666586335454062e-04,4.649435758402081786e-02,0.000000000000000000e+00,9.669162781905318513e-03
2.333333333333333370e-01,1.503098555978373051e+09,-1.517136580324148691e-04,5.249362953034608648e-02,0.000000000000000000e+00,1.054405660741108627e-02
2.500000000000000000e-01,1.503098555996012926e+09,-2.107813626672053490e-04,5.099381154376476932e-02,0.000000000000000000e+00,1.139395346647383185e-02
