# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503098956876456976e+09,0.000000000000000000e+00,9.298871516804163573e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503098956876879930e+09,5.533874176911749648e-06,2.709960937500000000e-02,0.000000000000000000e+00,4.516601562499999675e-04
3.333333333333333287e-02,1.503098956886683941e+09,2.246585738844798167e-05,6.599199140957794085e-02,0.000000000000000000e+00,1.551526679742965594e-03
5.000000000000000278e-02,1.503098956903673887e+09,5.127754235841473405e-05,4.949399355718345217e-02,0.000000000000000000e+00,2.376426572362689421e-03
6.666666666666666574e-02,1.503098956919948101e+09,9.238118567068819714e-05,4.949399355718345217e-02,0.000000000000000000e+00,3.201326464982413682e-03
8.333333333333332871e-02,1.503098956937963963e+09,1.460559333900881445e-04,4.949399355718345217e-02,0.000000000000000000e+00,4.026226357602137942e-03
1.000000000000000056e-01,1.503098956953804970e+09,2.123860144856160579e-04,4.949399355718345217e-02,0.000000000000000000e+00,4.851126250221862203e-03
1.166666666666666685e-01,1.503098956970360041e+09,2.912036602790000106e-04,4.799417557060213502e-02,0.000000000000000000e+00,5.651029176398564280e-03
1.333333333333333315e-01,1.503098956986181974e+09,3.820393804546372827e-04,5.099381154376476932e-02,0.000000000000000000e+00,6.500926035461310724e-03
1.499999999999999944e-01,1.503098957001811028e+09,4.840819961801292475e-04,5.099381154376476932e-02,0.000000000000000000e+00,7.350822894524057169e-03
1.666666666666666574e-01,1.503098957018446922e+09,5.961505058324608137e-04,4.949399355718345217e-02,0.000000000000000000e+00,8.175722787143780562e-03
1.833333333333333204e-01,1.503098957035607100e+09,7.166794494368970009e-04,4.949399355718345217e-02,0.000000000000000000e+00,9.000622679763503955e-03
2.000000000000000111e-01,1.503098957051131010e+09,8.437189580923983067e-04,6.149253744983398939e-02,0.000000000000000000e+00,1.002549830392740308e-02
2.166666666666666741e-01,1.503098957068254948e+09,9.749501409648655753e-04,4.949399355718345217e-02,0.000000000000000000e+00,1.085039819654712648e-02
2.333333333333333370e-01,1.503098957083013058e+09,1.107715893606488287e-03,4.649435758402081786e-02,0.000000000000000000e+00,1.162530415628080724e-02
2.500000000000000000e-01,1.503098957100255966e+09,1.239066627642610883e-03,4.199490362427686641e-02,0.000000000000000000e+00,1.232521921668542145e-02
2.666666666666666630e-01,1.503098957115870953e+09,1.365819844308707254e-03,4.199490362427686641e-02,0.000000000000000000e+00,1.302513427709003566e-02
