# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503099118643054008e+09,0.000000000000000000e+00,4.199490362427686641e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503099118643568993e+09,1.798929827055640890e-06,9.521484375000000000e-03,0.000000000000000000e+00,1.586914062499999783e-04
3.333333333333333287e-02,1.503099118653243065e+09,7.143096105243524524e-06,4.049508563769554925e-02,1.413869948528467420e-06,8.336330647107344574e-04
5.000000000000000278e-02,1.503099118669931889e+09,1.610466661814614789e-05,3.899526765111423210e-02,5.480904621995249357e-06,1.483645540639671502e-03
6.666666666666666574e-02,1.503099118686666965e+09,2.895384448307132715e-05,4.049508563769554925e-02,1.197178372019448439e-05,2.158763164329933516e-03
8.333333333333332871e-02,1.503099118703260899e+09,4.614755680175652706e-05,4.049508563769554925e-02,2.069039208931063465e-05,2.834026098159680811e-03
1.000000000000000056e-01,1.503099118719770908e+09,6.831024298560356336e-05,4.049508563769554925e-02,3.145911940556328203e-05,3.509468510778032679e-03
1.166666666666666685e-01,1.503099118736042976e+09,9.620762854014538220e-05,4.199490362427686641e-02,4.410249646159308714e-05,4.210118612790339845e-03
1.333333333333333315e-01,1.503099118751660109e+09,1.307146554978873428e-04,4.049508563769554925e-02,5.843004229691513073e-05,4.886010540790214352e-03
1.499999999999999944e-01,1.503099118768368006e+09,1.727789801094829173e-04,4.049508563769554925e-02,7.421922989269736943e-05,5.562165621916684809e-03
1.666666666666666574e-01,1.503099118783931971e+09,2.233816324214081377e-04,3.749544966453291495e-02,9.119947392158423295e-05,6.188609774224259653e-03
1.833333333333333204e-01,1.503099118802048922e+09,2.834965535923031810e-04,4.049508563769554925e-02,1.090380022054298579e-04,6.865345168222609581e-03
2.000000000000000111e-01,1.503099118818450928e+09,3.540507801474801052e-04,4.049508563769554925e-02,1.273283945496202273e-04,7.542385402093362487e-03
2.166666666666666741e-01,1.503099118835269928e+09,4.358870272687663831e-04,4.049508563769554925e-02,1.455824612706091144e-04,8.219729870409465261e-03
2.333333333333333370e-01,1.503099118851160049e+09,5.297303357130522588e-04,4.049508563769554925e-02,1.632259930194410863e-04,8.897368397588048539e-03
2.500000000000000000e-01,1.503099118868024111e+09,6.361602917354371124e-04,3.899526765111423210e-02,1.795987485318640664e-04,9.550282837582149686e-03
2.666666666666666630e-01,1.503099118884645939e+09,7.555901117132752349e-04,3.749544966453291495e-02,1.939588637388215840e-04,1.017843964638667775e-02
2.833333333333333259e-01,1.503099118901112080e+09,8.882536106725638213e-04,3.899526765111423210e-02,2.054916710143152943e-04,1.083178563508882010e-02
2.999999999999999889e-01,1.503099118917784929e+09,1.034200756394932025e-03,4.199490362427686641e-02,2.133227184913829547e-04,1.153525607413495753e-02
3.166666666666666519e-01,1.503099118934797049e+09,1.193302159824387266e-03,4.199490362427686641e-02,2.165345838736542565e-04,1.223878004427080002e-02
3.333333333333333148e-01,1.503099118951669931e+09,1.365262481094094800e-03,3.899526765111423210e-02,2.141868925491650553e-04,1.289227095333185698e-02
3.499999999999999778e-01,1.503099118968106985e+09,1.549642352597834774e-03,4.049508563769554925e-02,2.053387833626603616e-04,1.357061136034949309e-02
3.666666666666666408e-01,1.503099118984791040e+09,1.745888050533747236e-03,3.899526765111423210e-02,1.890729239062381717e-04,1.422368370326650144e-02
3.833333333333333037e-01,1.503099119001615047e+09,1.953367798579231079e-03,4.049508563769554925e-02,1.645200666847985288e-04,1.490134379833950654e-02
4.000000000000000222e-01,1.503099119018187046e+09,2.171413275559406532e-03,3.899526765111423210e-02,1.308830630781853213e-04,1.555344631024271375e-02
4.166666666666666852e-01,1.503099119035060883e+09,2.399364635797831668e-03,3.899526765111423210e-02,8.745921757750530596e-05,1.620482509138757715e-02
4.333333333333333481e-01,1.503099119051744938e+09,2.636617147369856289e-03,3.899526765111423210e-02,3.365987293033690574e-05,1.685530721678831986e-02
4.500000000000000111e-01,1.503099119068485022e+09,2.882667418804716816e-03,3.899526765111423210e-02,-3.097383122698587287e-05,1.750471211378644074e-02
4.666666666666666741e-01,1.503099119085139990e+09,3.137157125635596337e-03,4.049508563769554925e-02,-1.067599882549475742e-04,1.817785087461045238e-02
4.833333333333333370e-01,1.503099119103082895e+09,3.399912168671761614e-03,4.049508563769554925e-02,-1.938705678647713586e-04,1.884953779244096655e-02
5.000000000000000000e-01,1.503099119119791031e+09,3.670975297224232138e-03,4.049508563769554925e-02,-2.923323225330992062e-04,1.951958368102700569e-02
5.166666666666666075e-01,1.503099119135981083e+09,3.950630411085220665e-03,3.899526765111423210e-02,-4.020343976670092464e-04,2.016280423525112706e-02
5.333333333333333259e-01,1.503099119151593924e+09,4.239417010242936372e-03,3.899526765111423210e-02,-5.227428498253062399e-04,2.080401298193927662e-02
5.500000000000000444e-01,1.503099119167753935e+09,4.538133583686351606e-03,3.899526765111423210e-02,-6.541220206403078590e-04,2.144303207578050763e-02
5.666666666666666519e-01,1.503099119184242964e+09,4.847829108185540935e-03,3.899526765111423210e-02,-7.957624452834771798e-04,2.207969049587768517e-02
5.833333333333333703e-01,1.503099119201642990e+09,5.169782252275831672e-03,3.749544966453291495e-02,-9.472147022102742368e-04,2.268882774524972820e-02
5.999999999999999778e-01,1.503099119218065977e+09,5.505468335561657794e-03,3.899526765111423210e-02,-1.108028344766271356e-03,2.332028173368886140e-02
6.166666666666666963e-01,1.503099119235846043e+09,5.856514563162844647e-03,4.049508563769554925e-02,-1.277794804439103069e-03,2.397390324757646754e-02
6.333333333333333037e-01,1.503099119252580881e+09,6.224644522992122363e-03,3.899526765111423210e-02,-1.456192929342587728e-03,2.459955449293932742e-02
6.500000000000000222e-01,1.503099119268769979e+09,6.611613382549182995e-03,3.899526765111423210e-02,-1.643035628704314459e-03,2.522209169331282586e-02
6.666666666666666297e-01,1.503099119285391092e+09,7.019135635237815606e-03,4.049508563769554925e-02,-1.838315942725805060e-03,2.586637118822898707e-02
6.833333333333333481e-01,1.503099119302328110e+09,7.448807607868692879e-03,3.749544966453291495e-02,-2.042250754190880549e-03,2.645725783673468640e-02
6.999999999999999556e-01,1.503099119317234993e+09,7.902027236408499383e-03,4.049508563769554925e-02,-2.255320309322456866e-03,2.709458725887423786e-02
7.166666666666666741e-01,1.503099119334521055e+09,8.379913833522279962e-03,4.049508563769554925e-02,-2.478301724829994664e-03,2.772820032408866361e-02
7.333333333333332815e-01,1.503099119350971937e+09,8.883230698803886924e-03,4.049508563769554925e-02,-2.712294728359604477e-03,2.835791350591092969e-02
7.500000000000000000e-01,1.503099119367944956e+09,9.412313453414918735e-03,4.049508563769554925e-02,-2.958738011342416842e-03,2.898351929968348215e-02
7.666666666666666075e-01,1.503099119384589911e+09,9.967006910941903983e-03,3.749544966453291495e-02,-3.219414765314491337e-03,2.955478654800378774e-02
7.833333333333333259e-01,1.503099119402031898e+09,1.054661312481581202e-02,4.049508563769554925e-02,-3.496446222001106142e-03,3.017143053826536192e-02
8.000000000000000444e-01,1.503099119418109894e+09,1.114985298230790171e-02,4.049508563769554925e-02,-3.792272318767395470e-03,3.078314409358083245e-02
8.166666666666666519e-01,1.503099119435892105e+09,1.177484335212272519e-02,3.749544966453291495e-02,-4.109618957571251237e-03,3.133957460536352518e-02
8.333333333333333703e-01,1.503099119452462912e+09,1.241909134653617665e-02,3.749544966453291495e-02,-4.451451708786296514e-03,3.189030790462597104e-02
8.499999999999999778e-01,1.503099119469763994e+09,1.307950674260833362e-02,4.049508563769554925e-02,-4.820916221201173441e-03,3.248487739490087817e-02
8.666666666666666963e-01,1.503099119486380100e+09,1.375243303576303630e-02,3.899526765111423210e-02,-5.221266024943145220e-03,3.304777742200373097e-02
8.833333333333333037e-01,1.503099119502460003e+09,1.443369699083479549e-02,4.049508563769554925e-02,-5.655778842898949617e-03,3.362843253525034382e-02
9.000000000000000222e-01,1.503099119519117117e+09,1.511867593019894374e-02,3.749544966453291495e-02,-6.127662945701860438e-03,3.415122898056419803e-02
9.166666666666666297e-01,1.503099119535533905e+09,1.580238137665665801e-02,3.899526765111423210e-02,-6.639955482583589745e-03,3.469048418337303957e-02
9.333333333333333481e-01,1.503099119552239895e+09,1.647955707167715611e-02,4.049508563769554925e-02,-7.195415082552457202e-03,3.524547869262542599e-02
9.499999999999999556e-01,1.503099119568468094e+09,1.714478883853170696e-02,4.049508563769554925e-02,-7.796411335184473546e-03,3.579045659766727505e-02
9.666666666666666741e-01,1.503099119584513903e+09,1.779262327498734933e-02,3.899526765111423210e-02,-8.444814016429913126e-03,3.629963082491201309e-02
9.833333333333332815e-01,1.503099119601464033e+09,1.841769186012975207e-02,4.049508563769554925e-02,-9.141885112139282871e-03,3.682218416700461933e-02
1.000000000000000000e+00,1.503099119617835045e+09,1.901483676081737115e-02,4.049508563769554925e-02,-9.888176801993499646e-03,3.733229931426632064e-02
1.016666666666666607e+00,1.503099119634752989e+09,1.957923443858328519e-02,4.049508563769554925e-02,-1.068343859258093741e-02,3.782916009835156357e-02
1.033333333333333215e+00,1.503099119651423931e+09,2.010651309740429937e-02,3.599563167795159779e-02,-1.152653672604994108e-02,3.823697834754992420e-02
1.050000000000000044e+00,1.503099119668628931e+09,2.059286008268162993e-02,4.199490362427686641e-02,-1.241538883798810715e-02,3.872997026065473636e-02
1.066666666666666652e+00,1.503099119684237003e+09,2.103511554387744314e-02,4.049508563769554925e-02,-1.334691659534156111e-02,3.918243974469397262e-02
1.083333333333333259e+00,1.503099119702213049e+09,2.143084900500734011e-02,4.049508563769554925e-02,-1.431701871525763517e-02,3.961874086006793999e-02
1.100000000000000089e+00,1.503099119717828035e+09,2.177841594167675976e-02,4.199490362427686641e-02,-1.532056635424891913e-02,4.006331314790173570e-02
1.116666666666666696e+00,1.503099119735860109e+09,2.207699202933811541e-02,4.049508563769554925e-02,-1.635142237206552857e-02,4.046570753566223339e-02
1.133333333333333304e+00,1.503099119751822948e+09,2.232658338963995279e-02,4.049508563769554925e-02,-1.740248542650978808e-02,4.085058420584865985e-02
1.149999999999999911e+00,1.503099119767775059e+09,2.252801190117136379e-02,4.049508563769554925e-02,-1.846575925664900933e-02,4.121773964553276937e-02
1.166666666666666741e+00,1.503099119783317089e+09,2.268287543545080207e-02,4.049508563769554925e-02,-1.953244687684977179e-02,4.156711695821353053e-02
1.183333333333333348e+00,1.503099119800658941e+09,2.279348370401786464e-02,3.599563167795159779e-02,-2.059306874865852316e-02,4.182382634036841546e-02
1.199999999999999956e+00,1.503099119817343950e+09,2.286277123152757537e-02,3.599563167795159779e-02,-2.163760333879154868e-02,4.206312681268774972e-02
1.216666666666666563e+00,1.503099119834340096e+09,2.289418977541210834e-02,3.749544966453291495e-02,-2.265564782706388017e-02,4.231045684331223578e-02
1.233333333333333393e+00,1.503099119850040913e+09,2.289158326745572777e-02,3.599563167795159779e-02,-2.363659611588590781e-02,4.251644076934666533e-02
1.250000000000000000e+00,1.503099119868242979e+09,2.285904902980936959e-02,3.749544966453291495e-02,-2.456983073062687234e-02,4.273186775157843120e-02
1.266666666666666607e+00,1.503099119884902954e+09,2.280078959252869464e-02,3.749544966453291495e-02,-2.544492470455634106e-02,4.293270983424470749e-02
1.283333333333333215e+00,1.503099119902385950e+09,2.272095988918731990e-02,3.749544966453291495e-02,-2.625184912885599950e-02,4.312010317650599028e-02
1.300000000000000044e+00,1.503099119917670965e+09,2.262351491240133239e-02,3.899526765111423210e-02,-2.698118173125073349e-02,4.332033794183704628e-02
1.316666666666666652e+00,1.503099119934185028e+09,2.251206305720126338e-02,3.899526765111423210e-02,-2.762431163790832200e-02,4.350985387539047650e-02
1.333333333333333259e+00,1.503099119950028896e+09,2.238973035681180238e-02,3.749544966453291495e-02,-2.817363538163504544e-02,4.366521744677210465e-02
1.350000000000000089e+00,1.503099119967813969e+09,2.225904061744870058e-02,3.899526765111423210e-02,-2.862273925142849729e-02,4.383809292010019953e-02
1.366666666666666696e+00,1.503099119984165907e+09,2.212181608663619722e-02,3.749544966453291495e-02,-2.896656323740999864e-02,4.398024102721891787e-02
1.383333333333333304e+00,1.503099120000600100e+09,2.197910274938443681e-02,3.749544966453291495e-02,-2.920154211101820552e-02,4.411847281977749474e-02
1.399999999999999911e+00,1.503099120015963078e+09,2.183112365011818240e-02,3.749544966453291495e-02,-2.932571958969727721e-02,4.425463498769142273e-02
