# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503099181423015118e+09,-0.000000000000000000e+00,5.999271946325266877e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503099181423753023e+09,-2.147917641751685147e-06,2.197265625000000000e-03,0.000000000000000000e+00,3.662109374999999864e-05
3.333333333333333287e-02,1.503099181425657988e+09,-8.764447890478153669e-06,8.998907919487899448e-03,-2.036121991559252359e-06,1.865689570416056531e-04
5.000000000000000278e-02,1.503099181442852974e+09,-2.010613480534787772e-05,7.499089932906584030e-03,-8.870962340705919414e-06,3.114059398843702607e-04
6.666666666666666574e-02,1.503099181460097075e+09,-3.641188470135284743e-05,5.999271946325266877e-03,-2.149838682797131008e-05,4.110354992093251609e-04
8.333333333333332871e-02,1.503099181477597952e+09,-5.788539582759026761e-05,7.499089932906584030e-03,-4.077125756175501819e-05,5.353408104650722588e-04
1.000000000000000056e-01,1.503099181494400978e+09,-8.467853633946515466e-05,8.998907919487899448e-03,-6.738982318432458051e-05,6.841994454034652220e-04
1.166666666666666685e-01,1.503099181511507988e+09,-1.168766158252789247e-04,7.499089932906584030e-03,-1.018961169972662468e-04,8.074860090019537508e-04
1.333333333333333315e-01,1.503099181528318882e+09,-1.544864480217000185e-04,8.998907919487899448e-03,-1.446742750637536659e-04,9.550565697423561836e-04
1.499999999999999944e-01,1.503099181545305014e+09,-1.974280167416706932e-04,8.998907919487899448e-03,-1.959564292923599938e-04,1.101772427912281775e-03
1.666666666666666574e-01,1.503099181560916901e+09,-2.455304358554707901e-04,8.998907919487899448e-03,-2.558335955227125928e-04,1.247490333311701560e-03
1.833333333333333204e-01,1.503099181578444004e+09,-2.985327411237056528e-04,8.998907919487899448e-03,-3.242707734298126373e-04,1.392067619079336276e-03
2.000000000000000111e-01,1.503099181596168041e+09,-3.560898716819140670e-04,5.999271946325266877e-03,-4.011253119695700289e-04,1.485370062985264536e-03
2.166666666666666741e-01,1.503099181614989042e+09,-4.177839979613533336e-04,5.999271946325266877e-03,-4.861674777229892824e-04,1.577255137461969171e-03
2.333333333333333370e-01,1.503099181631934881e+09,-4.831411375935639038e-04,7.499089932906584030e-03,-5.791020985136316728e-04,1.692588268035185054e-03
2.500000000000000000e-01,1.503099181649214983e+09,-5.516527788195227855e-04,4.499453959743949724e-03,-6.795901435750629615e-04,1.756252664971333236e-03
2.666666666666666630e-01,1.503099181666934967e+09,-6.228020099383184969e-04,8.998907919487899448e-03,-7.872691445820033255e-04,1.893113311219764890e-03
2.833333333333333259e-01,1.503099181685410976e+09,-6.960934413600717045e-04,8.998907919487899448e-03,-9.017714570123564486e-04,2.028065585594357196e-03
