# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503692240917772055e+09,0.000000000000000000e+00,2.999635973162633439e-03,-0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503692240918344021e+09,1.798929827055640890e-06,7.324218750000000000e-04,0.000000000000000000e+00,1.220703124999999898e-05
3.333333333333333287e-02,1.503692240928015947e+09,7.143096105243524524e-06,2.999635973162633439e-03,-1.413869948528467420e-06,6.217739963690173464e-05
5.000000000000000278e-02,1.503692240946381092e+09,1.610466661814614789e-05,5.999271946325266877e-03,-5.480904621995249357e-06,1.620739169986229141e-04
6.666666666666666574e-02,1.503692240964123011e+09,2.895384448307132715e-05,4.499453959743949724e-03,-1.197178372019448439e-05,2.368652865990188258e-04
8.333333333333332871e-02,1.503692240982280970e+09,4.614755680175652706e-05,4.499453959743949724e-03,-2.069039208931063465e-05,3.115113460599294574e-04
1.000000000000000056e-01,1.503692240998913050e+09,6.831024298560356336e-05,4.499453959743949724e-03,-3.145911940556328203e-05,3.859779267322358941e-04
1.166666666666666685e-01,1.503692241013848066e+09,9.620762854014538220e-05,4.499453959743949724e-03,-4.410249646159308714e-05,4.602337844536085127e-04
1.333333333333333315e-01,1.503692241029901028e+09,1.307146554978873428e-04,5.999271946325266877e-03,-5.843004229691513073e-05,5.592478161874143332e-04
1.499999999999999944e-01,1.503692241045804977e+09,1.727789801094829173e-04,2.999635973162633439e-03,-7.421922989269736943e-05,6.080047619085799434e-04
1.666666666666666574e-01,1.503692241061850071e+09,2.233816324214081377e-04,4.499453959743949724e-03,-9.119947392158423295e-05,6.814756700056193075e-04
1.833333333333333204e-01,1.503692241078006029e+09,2.834965535923031810e-04,4.499453959743949724e-03,-1.090380022054298579e-04,7.546492692979279559e-04
2.000000000000000111e-01,1.503692241094674110e+09,3.540507801474801052e-04,4.499453959743949724e-03,-1.273283945496202273e-04,8.275180287178334100e-04
2.166666666666666741e-01,1.503692241111417055e+09,4.358870272687663831e-04,2.999635973162633439e-03,-1.455824612706091144e-04,8.750855872493671370e-04
2.333333333333333370e-01,1.503692241126475096e+09,5.297303357130522588e-04,5.999271946325266877e-03,-1.632259930194410863e-04,9.723530198044641861e-04
2.500000000000000000e-01,1.503692241142720938e+09,6.361602917354371124e-04,4.499453959743949724e-03,-1.795987485318640664e-04,1.044350606657998889e-03
2.666666666666666630e-01,1.503692241159588099e+09,7.555901117132752349e-04,5.999271946325266877e-03,-1.939588637388215840e-04,1.141105824701106348e-03
2.833333333333333259e-01,1.503692241176628113e+09,8.882536106725638213e-04,4.499453959743949724e-03,-2.054916710143152943e-04,1.212671862846600177e-03
2.999999999999999889e-01,1.503692241193022966e+09,1.034200756394932025e-03,4.499453959743949724e-03,-2.133227184913829547e-04,1.284107383534142856e-03
3.166666666666666519e-01,1.503692241211019993e+09,1.193302159824387266e-03,5.999271946325266877e-03,-2.165345838736542565e-04,1.380486339575003095e-03
3.333333333333333148e-01,1.503692241227684975e+09,1.365262481094094800e-03,2.999635973162633439e-03,-2.141868925491650553e-04,1.426910490918560995e-03
3.499999999999999778e-01,1.503692241244750977e+09,1.549642352597834774e-03,2.999635973162633439e-03,-2.053387833626603616e-04,1.473482110748560630e-03
3.666666666666666408e-01,1.503692241260502100e+09,1.745888050533747236e-03,2.999635973162633439e-03,-1.890729239062381717e-04,1.520324828236167131e-03
3.833333333333333037e-01,1.503692241277487993e+09,1.953367798579231079e-03,2.999635973162633439e-03,-1.645200666847985288e-04,1.567576760010797781e-03
4.000000000000000222e-01,1.503692241293849945e+09,2.171413275559406532e-03,2.999635973162633439e-03,-1.308830630781853213e-04,1.615389308512205210e-03
4.166666666666666852e-01,1.503692241310986042e+09,2.399364635797831668e-03,4.499453959743949724e-03,-8.745921757750530596e-05,1.688922554214979284e-03
4.333333333333333481e-01,1.503692241327303886e+09,2.636617147369856289e-03,4.499453959743949724e-03,-3.365987293033690574e-05,1.763352455661872749e-03
4.500000000000000111e-01,1.503692241345236063e+09,2.882667418804716816e-03,2.999635973162633439e-03,3.097383122698587287e-05,1.813862619068366301e-03
4.666666666666666741e-01,1.503692241361901045e+09,3.137157125635596337e-03,2.999635973162633439e-03,1.067599882549475742e-04,1.865635885091992572e-03
4.833333333333333370e-01,1.503692241378345013e+09,3.399912168671761614e-03,4.499453959743949724e-03,1.938705678647713586e-04,1.943857960552137836e-03
5.000000000000000000e-01,1.503692241395212889e+09,3.670975297224232138e-03,4.499453959743949724e-03,2.923323225330992062e-04,2.023721065256755321e-03
5.166666666666666075e-01,1.503692241411700964e+09,3.950630411085220665e-03,2.999635973162633439e-03,4.020343976670092464e-04,2.080415571437249471e-03
5.333333333333333259e-01,1.503692241427839041e+09,4.239417010242936372e-03,2.999635973162633439e-03,5.227428498253062399e-04,2.139121885153714986e-03
5.500000000000000444e-01,1.503692241444629908e+09,4.538133583686351606e-03,1.499817986581316719e-03,6.541220206403078590e-04,2.175020885274075565e-03
5.666666666666666519e-01,1.503692241461313963e+09,4.847829108185540935e-03,2.999635973162633439e-03,7.957624452834771798e-04,2.238277525581510927e-03
5.833333333333333703e-01,1.503692241478766918e+09,5.169782252275831672e-03,2.999635973162633439e-03,9.472147022102742368e-04,2.304058370171059491e-03
5.999999999999999778e-01,1.503692241495546103e+09,5.505468335561657794e-03,4.499453959743949724e-03,1.108028344766271356e-03,2.397516408579563121e-03
6.166666666666666963e-01,1.503692241513062000e+09,5.856514563162844647e-03,2.999635973162633439e-03,1.277794804439103069e-03,2.468806921539592070e-03
6.333333333333333037e-01,1.503692241529695034e+09,6.224644522992122363e-03,1.499817986581316719e-03,1.456192929342587728e-03,2.518073770138323786e-03
6.500000000000000222e-01,1.503692241547126055e+09,6.611613382549182995e-03,4.499453959743949724e-03,1.643035628704314459e-03,2.620448596612461739e-03
6.666666666666666297e-01,1.503692241563796997e+09,7.019135635237815606e-03,1.499817986581316719e-03,1.838315942725805060e-03,2.676084162100913870e-03
6.833333333333333481e-01,1.503692241581764936e+09,7.448807607868692879e-03,4.499453959743949724e-03,2.042250754190880549e-03,2.785112573999827881e-03
6.999999999999999556e-01,1.503692241597656012e+09,7.902027236408499383e-03,4.499453959743949724e-03,2.255320309322456866e-03,2.897692145150934564e-03
7.166666666666666741e-01,1.503692241615134001e+09,8.379913833522279962e-03,2.999635973162633439e-03,2.478301724829994664e-03,2.988991106784145198e-03
7.333333333333332815e-01,1.503692241631309032e+09,8.883230698803886924e-03,2.999635973162633439e-03,2.712294728359604477e-03,3.084189951809515953e-03
7.500000000000000000e-01,1.503692241647641897e+09,9.412313453414918735e-03,4.499453959743949724e-03,2.958738011342416842e-03,3.208493151327622070e-03
