# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503692914404721022e+09,0.000000000000000000e+00,3.299599570478897043e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503692914405360937e+09,0.000000000000000000e+00,8.422851562500000000e-03,0.000000000000000000e+00,1.403808593749999892e-04
3.333333333333333287e-02,1.503692914411668062e+09,0.000000000000000000e+00,3.449581369137028758e-02,9.035247014785260355e-08,7.153125934390072022e-04
5.000000000000000278e-02,1.503692914428483009e+09,0.000000000000000000e+00,3.299599570478897043e-02,6.158594877866561234e-08,1.265246881617969636e-03
6.666666666666666574e-02,1.503692914445261955e+09,0.000000000000000000e+00,2.999635973162633612e-02,-5.100377451749107210e-07,1.765177709849322270e-03
8.333333333333332871e-02,1.503692914462764978e+09,0.000000000000000000e+00,3.149617771820764633e-02,-1.994648274121536016e-06,2.290080761014881214e-03
1.000000000000000056e-01,1.503692914479434013e+09,0.000000000000000000e+00,2.999635973162633612e-02,-4.691205138388199306e-06,2.789941903123013649e-03
1.166666666666666685e-01,1.503692914497061968e+09,0.000000000000000000e+00,3.149617771820764633e-02,-8.818200971931082271e-06,3.314731228410275517e-03
1.333333333333333315e-01,1.503692914513714075e+09,0.000000000000000000e+00,3.149617771820764633e-02,-1.451334062605906637e-05,3.839425634703302111e-03
1.499999999999999944e-01,1.503692914530288935e+09,0.000000000000000000e+00,3.149617771820764633e-02,-2.184245933675090187e-05,4.363997889017817364e-03
1.666666666666666574e-01,1.503692914547174931e+09,0.000000000000000000e+00,2.999635973162633612e-02,-3.081747699355461261e-05,4.863423593261697112e-03
1.833333333333333204e-01,1.503692914565124035e+09,0.000000000000000000e+00,3.149617771820764633e-02,-4.142271947649717591e-05,5.387669509907216589e-03
2.000000000000000111e-01,1.503692914581744909e+09,0.000000000000000000e+00,2.849654174504501897e-02,-5.364849134855939253e-05,5.861717730802157300e-03
2.166666666666666741e-01,1.503692914598162889e+09,0.000000000000000000e+00,3.149617771820764633e-02,-6.753037552224476850e-05,6.385528519846913470e-03
2.333333333333333370e-01,1.503692914614593983e+09,0.000000000000000000e+00,2.849654174504501897e-02,-8.319238229435474104e-05,6.859084342559424938e-03
2.500000000000000000e-01,1.503692914631203890e+09,0.000000000000000000e+00,2.849654174504501897e-02,-1.008917879401751631e-04,7.332345175177838910e-03
2.666666666666666630e-01,1.503692914647835970e+09,0.000000000000000000e+00,2.849654174504501897e-02,-1.210633050002973734e-04,7.805269815845250828e-03
2.833333333333333259e-01,1.503692914665127039e+09,0.000000000000000000e+00,2.699672375846369834e-02,-1.443601226359816176e-04,8.252809209775712265e-03
2.999999999999999889e-01,1.503692914681292057e+09,0.000000000000000000e+00,2.849654174504501897e-02,-1.716893527455437551e-04,8.724890082980702941e-03
3.166666666666666519e-01,1.503692914698575974e+09,0.000000000000000000e+00,2.999635973162633612e-02,-2.042395190156062572e-04,9.221425419857548142e-03
3.333333333333333148e-01,1.503692914714101076e+09,0.000000000000000000e+00,2.849654174504501897e-02,-2.434979309616407746e-04,9.692309483425604749e-03
3.499999999999999778e-01,1.503692914732053041e+09,0.000000000000000000e+00,2.699672375846369834e-02,-2.912560886301888453e-04,1.013740061125616328e-02
