# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693336185736895e+09,-0.000000000000000000e+00,2.699672375846369834e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693336186239004e+09,-5.714304437118248311e-07,6.958007812500000000e-03,0.000000000000000000e+00,1.159667968749999946e-04
3.333333333333333287e-02,1.503693336192996025e+09,-2.302512093967138948e-06,2.849654174504501897e-02,0.000000000000000000e+00,5.909091592924169611e-04
5.000000000000000278e-02,1.503693336210017920e+09,-5.186605858555814017e-06,2.849654174504501897e-02,0.000000000000000000e+00,1.065851521709834009e-03
6.666666666666666574e-02,1.503693336225657940e+09,-9.177102081233194959e-06,2.699672375846369834e-02,0.000000000000000000e+00,1.515796917684228981e-03
8.333333333333332871e-02,1.503693336241688967e+09,-1.419612682244029663e-05,2.699672375846369834e-02,0.000000000000000000e+00,1.965742313658623737e-03
1.000000000000000056e-01,1.503693336258333921e+09,-2.014969283169138080e-05,2.699672375846369834e-02,0.000000000000000000e+00,2.415687709633018709e-03
1.166666666666666685e-01,1.503693336274518967e+09,-2.694859470604463341e-05,2.549690577188238466e-02,0.000000000000000000e+00,2.840636139164391932e-03
1.333333333333333315e-01,1.503693336291152000e+09,-3.453398915671436481e-05,2.849654174504501897e-02,0.000000000000000000e+00,3.315578501581809088e-03
1.499999999999999944e-01,1.503693336308160067e+09,-4.290628993505441840e-05,2.549690577188238466e-02,0.000000000000000000e+00,3.740526931113182310e-03
1.666666666666666574e-01,1.503693336323724031e+09,-5.215575692449811430e-05,2.549690577188238466e-02,0.000000000000000000e+00,4.165475360644555099e-03
1.833333333333333204e-01,1.503693336340547085e+09,-6.249298190959403591e-05,2.549690577188238466e-02,0.000000000000000000e+00,4.590423790175927887e-03
2.000000000000000111e-01,1.503693336357168913e+09,-7.427737844587753479e-05,2.399708778530106751e-02,0.000000000000000000e+00,4.990375253264279359e-03
2.166666666666666741e-01,1.503693336374066114e+09,-8.804177571000245024e-05,2.099745181213843320e-02,0.000000000000000000e+00,5.340332783466586464e-03
2.333333333333333370e-01,1.503693336390710115e+09,-1.045112983761726627e-04,2.099745181213843320e-02,0.000000000000000000e+00,5.690290313668893568e-03
2.500000000000000000e-01,1.503693336407505035e+09,-1.246148850246647159e-04,1.649799785239448521e-02,0.000000000000000000e+00,5.965256944542134988e-03
2.666666666666666630e-01,1.503693336424176931e+09,-1.494880513502020879e-04,1.349836187923184917e-02,0.000000000000000000e+00,6.190229642529332041e-03
2.833333333333333259e-01,1.503693336442090034e+09,-1.804658330804128827e-04,8.998907919487899448e-03,0.000000000000000000e+00,6.340211441187463409e-03
2.999999999999999889e-01,1.503693336457775116e+09,-2.190652354552083945e-04,5.999271946325266877e-03,0.000000000000000000e+00,6.440199306959551277e-03
3.166666666666666519e-01,1.503693336474018097e+09,-2.669569570013582017e-04,2.999635973162633439e-03,0.000000000000000000e+00,6.490193239845594778e-03
3.333333333333333148e-01,1.503693336490645885e+09,-3.259266285284376664e-04,1.499817986581316719e-03,0.000000000000000000e+00,6.515190206288616961e-03
3.499999999999999778e-01,1.503693336507540941e+09,-3.978262954429972651e-04,-1.499817986581316719e-03,0.000000000000000000e+00,6.490193239845594778e-03
3.666666666666666408e-01,1.503693336524291992e+09,-4.845173532557454660e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.490193239845594778e-03
3.833333333333333037e-01,1.503693336541605949e+09,-5.878066028298882919e-04,-1.499817986581316719e-03,0.000000000000000000e+00,6.465196273402572594e-03
4.000000000000000222e-01,1.503693336557612896e+09,-7.093775041618185975e-04,1.499817986581316719e-03,0.000000000000000000e+00,6.490193239845594778e-03
4.166666666666666852e-01,1.503693336574498892e+09,-8.507190570829036144e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.490193239845594778e-03
4.333333333333333481e-01,1.503693336590177059e+09,-1.013055007817564640e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.490193239845594778e-03
4.500000000000000111e-01,1.503693336607726097e+09,-1.197276257879919831e-03,-1.499817986581316719e-03,0.000000000000000000e+00,6.465196273402572594e-03
4.666666666666666741e-01,1.503693336624418020e+09,-1.403879425422334968e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.465196273402572594e-03
4.833333333333333370e-01,1.503693336642206907e+09,-1.632914471456205522e-03,-1.499817986581316719e-03,0.000000000000000000e+00,6.440199306959550410e-03
5.000000000000000000e-01,1.503693336659349918e+09,-1.883944150815729289e-03,-2.999635973162633439e-03,0.000000000000000000e+00,6.390205374073506910e-03
5.166666666666666075e-01,1.503693336676752090e+09,-2.156017780906799818e-03,-2.999635973162633439e-03,0.000000000000000000e+00,6.340211441187463409e-03
5.333333333333333259e-01,1.503693336693340063e+09,-2.447661444963157747e-03,-2.999635973162633439e-03,0.000000000000000000e+00,6.290217508301419909e-03
5.500000000000000444e-01,1.503693336710656881e+09,-2.756886269670313482e-03,-1.499817986581316719e-03,0.000000000000000000e+00,6.265220541858397725e-03
5.666666666666666519e-01,1.503693336726711035e+09,-3.081215852534982275e-03,-1.499817986581316719e-03,0.000000000000000000e+00,6.240223575415375541e-03
5.833333333333333703e-01,1.503693336744090080e+09,-3.417733278828999875e-03,-4.499453959743949724e-03,0.000000000000000000e+00,6.165232676086309857e-03
5.999999999999999778e-01,1.503693336760111094e+09,-3.763147481044204143e-03,-2.999635973162633439e-03,0.000000000000000000e+00,6.115238743200266357e-03
6.166666666666666963e-01,1.503693336777892113e+09,-4.113877977857417594e-03,-2.999635973162633439e-03,0.000000000000000000e+00,6.065244810314222856e-03
6.333333333333333037e-01,1.503693336794689894e+09,-4.466156308803886747e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.990253910985157172e-03
6.500000000000000222e-01,1.503693336811199903e+09,-4.816141780483457722e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.940259978099113672e-03
6.666666666666666297e-01,1.503693336827378988e+09,-5.160048485737117607e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.865269078770047988e-03
6.833333333333333481e-01,1.503693336844463110e+09,-5.494279973801095666e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.790278179440982304e-03
6.999999999999999556e-01,1.503693336860138893e+09,-5.815567460473788225e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.740284246554938803e-03
7.166666666666666741e-01,1.503693336876283884e+09,-6.121107094011518819e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.665293347225873119e-03
7.333333333333332815e-01,1.503693336893475056e+09,-6.408691552892799466e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.590302447896807435e-03
7.500000000000000000e-01,1.503693336909903049e+09,-6.676831160036197227e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.515311548567741751e-03
7.666666666666666075e-01,1.503693336926531076e+09,-6.924859764382477675e-03,-1.499817986581316719e-03,0.000000000000000000e+00,5.490314582124719567e-03
7.833333333333333259e-01,1.503693336943873882e+09,-7.153020869923236262e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.440320649238676066e-03
8.000000000000000444e-01,1.503693336959698915e+09,-7.362529884015206992e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.365329749909610382e-03
8.166666666666666519e-01,1.503693336976284027e+09,-7.555608905512389145e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.315335817023566882e-03
8.333333333333333703e-01,1.503693336993210077e+09,-7.735491167836208194e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.265341884137523382e-03
8.499999999999999778e-01,1.503693337009437084e+09,-7.906393076341566156e-03,-2.999635973162633439e-03,0.000000000000000000e+00,5.215347951251479881e-03
8.666666666666666963e-01,1.503693337024986029e+09,-8.073452712117148294e-03,-1.499817986581316719e-03,0.000000000000000000e+00,5.190350984808457697e-03
8.833333333333333037e-01,1.503693337042346954e+09,-8.242634690242422665e-03,-1.499817986581316719e-03,0.000000000000000000e+00,5.165354018365435514e-03
9.000000000000000222e-01,1.503693337059526920e+09,-8.420602330408019642e-03,-1.499817986581316719e-03,0.000000000000000000e+00,5.140357051922413330e-03
9.166666666666666297e-01,1.503693337076983929e+09,-8.614559189736739273e-03,-4.499453959743949724e-03,0.000000000000000000e+00,5.065366152593347646e-03
9.333333333333333481e-01,1.503693337092823982e+09,-8.832063087741433283e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.065366152593347646e-03
9.499999999999999556e-01,1.503693337109401941e+09,-9.080816786836445192e-03,-5.999271946325266877e-03,0.000000000000000000e+00,4.965378286821259778e-03
9.666666666666666741e-01,1.503693337126553059e+09,-9.368440444054588687e-03,-2.999635973162633439e-03,0.000000000000000000e+00,4.915384353935216277e-03
9.833333333333332815e-01,1.503693337143942118e+09,-9.702231787251125797e-03,-1.499817986581316719e-03,0.000000000000000000e+00,4.890387387492194093e-03
1.000000000000000000e+00,1.503693337160463095e+09,-1.008892066109040066e-02,-2.999635973162633439e-03,0.000000000000000000e+00,4.840393454606150593e-03
1.016666666666666607e+00,1.503693337177274942e+09,-1.053442510690318773e-02,-2.999635973162633439e-03,0.000000000000000000e+00,4.790399521720107093e-03
1.033333333333333215e+00,1.503693337194778919e+09,-1.104361646284704804e-02,-2.999635973162633439e-03,0.000000000000000000e+00,4.740405588834063592e-03
1.050000000000000044e+00,1.503693337210433960e+09,-1.162010107870771990e-02,-4.499453959743949724e-03,0.000000000000000000e+00,4.665414689504997908e-03
1.066666666666666652e+00,1.503693337226911068e+09,-1.226602612113289123e-02,-2.999635973162633439e-03,0.000000000000000000e+00,4.615420756618954408e-03
1.083333333333333259e+00,1.503693337244242907e+09,-1.298191659460227326e-02,-2.999635973162633439e-03,0.000000000000000000e+00,4.565426823732910908e-03
1.100000000000000089e+00,1.503693337261151075e+09,-1.376655012243997202e-02,-4.499453959743949724e-03,0.000000000000000000e+00,4.490435924403845223e-03
