# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503693639000128031e+09,0.000000000000000000e+00,1.664797965105261623e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503693639000554085e+09,9.035247014785260355e-08,4.101562500000000000e-02,0.000000000000000000e+00,6.835937499999998482e-04
3.333333333333333287e-02,1.503693639008996010e+09,6.158594877866561234e-08,1.679796144971074656e-01,0.000000000000000000e+00,3.483253991618457442e-03
5.000000000000000278e-02,1.503693639027337074e+09,-5.100377451749107210e-07,1.679796144971074656e-01,0.000000000000000000e+00,6.282914233236914711e-03
6.666666666666666574e-02,1.503693639042273998e+09,-1.994648274121536016e-06,1.694794324836887967e-01,0.000000000000000000e+00,9.107571441298395465e-03
8.333333333333332871e-02,1.503693639059710026e+09,-4.691205138388199306e-06,1.694794324836887967e-01,0.000000000000000000e+00,1.193222864935987448e-02
1.000000000000000056e-01,1.503693639076301098e+09,-8.818200971931082271e-06,1.664797965105261623e-01,0.000000000000000000e+00,1.470689192453530914e-02
1.166666666666666685e-01,1.503693639094261885e+09,-1.451334062605906637e-05,1.679796144971074656e-01,0.000000000000000000e+00,1.750655216615376597e-02
1.333333333333333315e-01,1.503693639110559940e+09,-2.184245933675090187e-05,1.679796144971074656e-01,0.000000000000000000e+00,2.030621240777222281e-02
1.499999999999999944e-01,1.503693639127556086e+09,-3.081747699355461261e-05,1.694794324836887967e-01,0.000000000000000000e+00,2.313086961583370182e-02
1.666666666666666574e-01,1.503693639144223928e+09,-4.142271947649717591e-05,1.679796144971074656e-01,0.000000000000000000e+00,2.593052985745215866e-02
1.833333333333333204e-01,1.503693639162230968e+09,-5.364849134855939253e-05,1.679796144971074656e-01,0.000000000000000000e+00,2.873019009907061549e-02
2.000000000000000111e-01,1.503693639178783894e+09,-6.753037552224476850e-05,1.694794324836887967e-01,0.000000000000000000e+00,3.155484730713209451e-02
2.166666666666666741e-01,1.503693639195755005e+09,-8.319238229435474104e-05,1.679796144971074656e-01,0.000000000000000000e+00,3.435450754875055135e-02
2.333333333333333370e-01,1.503693639212322950e+09,-1.008917879401751631e-04,1.664797965105261623e-01,0.000000000000000000e+00,3.712917082392598600e-02
2.500000000000000000e-01,1.503693639229331970e+09,-1.210633050002973734e-04,1.679796144971074656e-01,0.000000000000000000e+00,3.992883106554444284e-02
2.666666666666666630e-01,1.503693639246390104e+09,-1.443601226359816176e-04,1.694794324836887967e-01,0.000000000000000000e+00,4.275348827360592185e-02
2.833333333333333259e-01,1.503693639262756109e+09,-1.716893527455437551e-04,1.664797965105261623e-01,0.000000000000000000e+00,4.552815154878135651e-02
2.999999999999999889e-01,1.503693639278892040e+09,-2.042395190156062572e-04,1.679796144971074656e-01,0.000000000000000000e+00,4.832781179039981334e-02
3.166666666666666519e-01,1.503693639296457052e+09,-2.434979309616407746e-04,1.694794324836887967e-01,0.000000000000000000e+00,5.115246899846129236e-02
3.333333333333333148e-01,1.503693639312155962e+09,-2.912560886301888453e-04,1.679796144971074656e-01,0.000000000000000000e+00,5.395212924007974920e-02
3.499999999999999778e-01,1.503693639330063105e+09,-3.496016575272619699e-04,1.679796144971074656e-01,0.000000000000000000e+00,5.675178948169820603e-02
3.666666666666666408e-01,1.503693639346740961e+09,-4.208960254705205800e-04,1.679796144971074656e-01,0.000000000000000000e+00,5.955144972331666287e-02
3.833333333333333037e-01,1.503693639363682985e+09,-5.077369881911939723e-04,1.664797965105261623e-01,0.000000000000000000e+00,6.232611299849209752e-02
4.000000000000000222e-01,1.503693639380115986e+09,-6.129066906540876075e-04,1.679796144971074656e-01,0.000000000000000000e+00,6.512577324011055435e-02
4.166666666666666852e-01,1.503693639398051023e+09,-7.393055560820595198e-04,1.679796144971074656e-01,0.000000000000000000e+00,6.792543348172901119e-02
4.333333333333333481e-01,1.503693639413974047e+09,-8.898735429339312214e-04,1.679796144971074656e-01,0.000000000000000000e+00,7.072509372334746802e-02
4.500000000000000111e-01,1.503693639431822062e+09,-1.067500659194303616e-03,1.679796144971074656e-01,0.000000000000000000e+00,7.352475396496592486e-02
4.666666666666666741e-01,1.503693639448472977e+09,-1.274929210894515559e-03,1.679796144971074656e-01,0.000000000000000000e+00,7.632441420658438169e-02
4.833333333333333370e-01,1.503693639465837002e+09,-1.514650746181578529e-03,1.649799785239448313e-01,0.000000000000000000e+00,7.907408051531679416e-02
5.000000000000000000e-01,1.503693639482458115e+09,-1.788801057425762732e-03,1.679796144971074656e-01,0.000000000000000000e+00,8.187374075693525100e-02
5.166666666666666075e-01,1.503693639499824047e+09,-2.099056904030863376e-03,1.694794324836887967e-01,0.000000000000000000e+00,8.469839796499673001e-02
5.333333333333333259e-01,1.503693639516398907e+09,-2.446538302962865136e-03,1.694794324836887967e-01,0.000000000000000000e+00,8.752305517305820903e-02
5.500000000000000444e-01,1.503693639533504009e+09,-2.831720291260549777e-03,1.679796144971074656e-01,0.000000000000000000e+00,9.032271541467666587e-02
5.666666666666666519e-01,1.503693639549561977e+09,-3.254357987668876195e-03,1.694794324836887967e-01,0.000000000000000000e+00,9.314737262273814489e-02
5.833333333333333703e-01,1.503693639566158056e+09,-3.713428566145969036e-03,1.679796144971074656e-01,0.000000000000000000e+00,9.594703286435660172e-02
5.999999999999999778e-01,1.503693639581788063e+09,-4.207093404022396559e-03,1.694794324836887967e-01,0.000000000000000000e+00,9.877169007241808074e-02
6.166666666666666963e-01,1.503693639598187923e+09,-4.732683188373959342e-03,1.694794324836887967e-01,0.000000000000000000e+00,1.015963472804795598e-01
6.333333333333333037e-01,1.503693639614510059e+09,-5.286708166604601848e-03,1.664797965105261623e-01,0.000000000000000000e+00,1.043710105556549944e-01
