# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.503694090392018080e+09,-0.000000000000000000e+00,4.799417557060213502e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.503694090392663956e+09,-1.798929827055640890e-06,1.135253906250000000e-02,0.000000000000000000e+00,1.892089843750000054e-04
3.333333333333333287e-02,1.503694090397927046e+09,-7.143096105243524524e-06,4.799417557060213502e-02,1.413869948528467420e-06,9.891354750508445093e-04
5.000000000000000278e-02,1.503694090413851976e+09,-1.610466661814614789e-05,4.799417557060213502e-02,5.480904621995249357e-06,1.789129749637913139e-03
6.666666666666666574e-02,1.503694090429755926e+09,-2.895384448307132715e-05,4.649435758402081786e-02,1.197178372019448439e-05,2.564235239100263238e-03
8.333333333333332871e-02,1.503694090446511030e+09,-4.614755680175652706e-05,4.649435758402081786e-02,2.069039208931063465e-05,3.339486038702098834e-03
1.000000000000000056e-01,1.503694090463227034e+09,-6.831024298560356336e-05,4.799417557060213502e-02,3.145911940556328203e-05,4.139913283535560755e-03
1.166666666666666685e-01,1.503694090480168104e+09,-9.620762854014538220e-05,4.649435758402081786e-02,4.410249646159308714e-05,4.915554284876934472e-03
1.333333333333333315e-01,1.503694090496027946e+09,-1.307146554978873428e-04,3.149617771820764633e-02,5.843004229691513073e-05,5.441464414218676743e-03
1.499999999999999944e-01,1.503694090513941050e+09,-1.727789801094829173e-04,1.799781583897579890e-02,7.421922989269736943e-05,5.742664998699818779e-03
1.666666666666666574e-01,1.503694090530539036e+09,-2.233816324214081377e-04,4.499453959743949724e-03,9.119947392158423295e-05,5.819175889260910783e-03
1.833333333333333204e-01,1.503694090547194958e+09,-2.834965535923031810e-04,-1.799781583897579890e-02,1.090380022054298579e-04,5.521029591981405082e-03
2.000000000000000111e-01,1.503694090563325882e+09,-3.540507801474801052e-04,-2.849654174504501897e-02,1.273283945496202273e-04,5.048209369473148807e-03
2.166666666666666741e-01,1.503694090581005096e+09,-4.358870272687663831e-04,-3.749544966453291495e-02,1.455824612706091144e-04,4.425711582752110164e-03
2.333333333333333370e-01,1.503694090596894979e+09,-5.297303357130522588e-04,-4.049508563769554925e-02,1.632259930194410863e-04,3.753513922007508524e-03
2.500000000000000000e-01,1.503694090612884045e+09,-6.361602917354371124e-04,-4.049508563769554925e-02,1.795987485318640664e-04,3.081589140521447372e-03
2.666666666666666630e-01,1.503694090630600929e+09,-7.555901117132752349e-04,-4.049508563769554925e-02,1.939588637388215840e-04,2.409903694288835323e-03
2.833333333333333259e-01,1.503694090645868063e+09,-8.882536106725638213e-04,-4.049508563769554925e-02,2.054916710143152943e-04,1.738410461510814719e-03
2.999999999999999889e-01,1.503694090662616014e+09,-1.034200756394932025e-03,-3.749544966453291495e-02,2.133227184913829547e-04,1.117041679076789199e-03
3.166666666666666519e-01,1.503694090680059910e+09,-1.193302159824387266e-03,-3.899526765111423210e-02,2.165345838736542565e-04,4.707294612894463368e-04
